,total_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,count_viols
Neural Network,87,0,0,9,10,0,42,7,1,0,18,0
Random Choice,319,0,47,66,88,6,60,19,1,0,32,0
Borda ranking,73,0,0,8,8,0,40,7,1,0,9,0
Plurality ranking,152,0,29,47,75,1,0,0,0,0,0,0
STV,114,0,19,37,58,0,0,0,0,0,0,0
Approval Voting (AV),61,0,0,0,2,0,37,5,1,0,16,0
Proportional Approval Voting (PAV),75,0,3,6,9,0,41,7,1,0,8,0
Approval Chamberlin-Courant (CC),299,1,45,58,83,6,54,20,1,0,31,0
Lexicographic Chamberlin-Courant (lex-CC),183,0,4,39,42,0,59,19,1,0,19,0
Sequential Approval Chamberlin-Courant (seq-CC),293,0,33,54,75,2,62,27,1,0,39,0
Monroe's Approval Rule (Monroe),233,1,25,53,75,2,45,13,1,0,18,0
Greedy Monroe,172,0,16,32,41,0,52,13,1,0,17,0
Minimax Approval Voting (MAV),278,0,31,60,84,0,60,21,1,0,21,0
