,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,8e-06,0.0,4e-06,0.0,4e-06,2.6e-05,0.0,0.0,0.0,0.0,0.0,5.4e-05
Random Choice,0.008051454545454546,0.000792,0.001732,0.037324,0.040792,0.007012,0.0,0.0,0.0,0.0,0.000136,0.000778
Borda ranking,0.001127090909090909,0.000186,0.0,0.005694,0.006432,0.0,0.0,0.0,0.0,0.0,0.0,8.6e-05
Plurality ranking,0.004636363636363636,0.0,0.000228,0.023866,0.02582,0.001086,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.004638181818181818,0.0,0.00023,0.023902,0.02582,0.001068,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.004638181818181818,0.0,0.00023,0.023902,0.02582,0.001068,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.004638181818181818,0.0,0.00023,0.023902,0.02582,0.001068,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.004638181818181818,0.0,0.00023,0.023902,0.02582,0.001068,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0046345454545454546,0.0,0.00023,0.023854,0.025814,0.001082,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.004638181818181818,0.0,0.00023,0.023902,0.02582,0.001068,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0046345454545454546,0.0,0.00023,0.023854,0.025814,0.001082,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.00799309090909091,0.000798,0.001604,0.037186,0.040592,0.006866,0.0,0.0,0.0,0.0,0.000128,0.00075
