,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.001985818181818182,4e-06,0.000186,2e-05,0.000752,4e-06,0.007118,0.005598,0.0,0.0,0.00665,0.001504
Random Choice,0.018091090909090907,0.008992,0.017988,0.033324,0.038026,0.00232,0.031206,0.021292,0.0,0.001896,0.023292,0.020666
Borda ranking,0.0022661818181818182,0.0,0.000552,0.00545,0.007006,0.0,0.003936,0.002794,0.0,0.0,0.003378,0.001812
Plurality ranking,0.010168545454545454,0.0,0.015622,0.030506,0.034524,2.8e-05,0.012966,0.0,0.0,0.0018,6e-06,0.016402
Approval Voting (AV),0.0033787272727272724,0.00013,3.2e-05,0.00337,0.005494,6e-06,0.010104,0.008298,0.0,0.0,0.009732,0.0
Proportional Approval Voting (PAV),0.0036476363636363633,0.000306,0.000268,0.004438,0.006972,4e-06,0.010252,0.008322,0.0,0.0,0.009562,0.0
Approval Chamberlin-Courant (CC),0.017984909090909093,0.008902,0.017758,0.033378,0.038094,0.002364,0.030764,0.021134,0.0,0.00187,0.023076,0.020494
Lexicographic Chamberlin-Courant (lex-CC),0.009928,0.00422,0.007952,0.024014,0.027592,2e-06,0.01909,0.012768,0.0,0.0,0.01357,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.016814363636363638,0.008184,0.016966,0.032678,0.037178,0.001576,0.029046,0.019404,0.0,0.00187,0.021084,0.016972
Monroe's Approval Rule (Monroe),0.011188181818181818,0.003926,0.0074,0.022086,0.026694,0.000832,0.019758,0.0154,0.0,0.0,0.017262,0.009712
Greedy Monroe,0.005517454545454545,0.001252,0.002292,0.01062,0.01382,6e-06,0.01196,0.009344,0.0,0.0,0.010578,0.00082
Minimax Approval Voting (MAV),0.014534363636363635,0.006384,0.012462,0.030914,0.035488,0.00107,0.026182,0.017922,0.0,0.0,0.019714,0.009742
