,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0016734545454545455,0.0,0.0,0.0,0.00065,0.0,0.006806,0.0044,0.0,0.0,0.006418,0.000128
Random Choice,0.01674581818181818,0.000378,0.01004,0.037748,0.044876,0.00266,0.022572,0.018478,0.0,0.0,0.023172,0.02428
Borda ranking,0.0023836363636363634,0.0,3.2e-05,0.00651,0.008226,0.0,0.004816,0.002866,0.0,0.0,0.003662,0.000108
Plurality ranking,0.008177636363636364,0.0,0.005124,0.03089,0.036674,0.000576,7e-05,0.0,0.0,0.0,0.00011,0.01651
Approval Voting (AV),0.003714181818181818,6e-06,1.8e-05,0.007236,0.009566,0.0,0.00902,0.006252,0.0,0.0,0.008758,0.0
Proportional Approval Voting (PAV),0.004414363636363636,8e-06,1.2e-05,0.010704,0.013778,0.0,0.00948,0.006686,0.0,0.0,0.00789,0.0
Approval Chamberlin-Courant (CC),0.016822545454545455,0.000374,0.010084,0.037906,0.04507,0.002842,0.022662,0.018574,0.0,0.0,0.023394,0.024142
Lexicographic Chamberlin-Courant (lex-CC),0.009208545454545454,0.000168,0.001144,0.02841,0.033072,0.0,0.015222,0.011632,0.0,0.0,0.011646,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.015164727272727272,0.000376,0.009242,0.036584,0.043372,0.000626,0.021826,0.017762,0.0,0.0,0.021724,0.0153
Monroe's Approval Rule (Monroe),0.016264181818181817,0.000326,0.008354,0.037516,0.044632,0.002552,0.021902,0.017864,0.0,0.0,0.02249,0.02327
Greedy Monroe,0.007242,4.2e-05,0.000918,0.02052,0.024532,4e-06,0.01265,0.00937,0.0,0.0,0.010722,0.000904
Minimax Approval Voting (MAV),0.012769454545454546,0.000236,0.004456,0.032888,0.038932,0.001412,0.019222,0.015394,0.0,0.0,0.017992,0.009932
