,mean_violations,majority,majority_loser,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,unanimity,local_stability,count_viols
Neural Network,5134,0,0,0,0,398,243,0,0,4493,0
Random Choice,6080,10,7,0,110,1220,905,0,0,3828,0
Borda ranking,5935,9,8,0,100,1177,865,0,0,3776,0
Plurality ranking,6024,12,5,0,97,1232,909,0,0,3769,0
Approval Voting (AV),3620,0,2,0,0,420,267,0,0,2931,0
Proportional Approval Voting (PAV),3470,1,1,0,0,973,692,0,0,1803,0
Approval Chamberlin-Courant (CC),4657,7,4,0,1,1203,894,0,0,2548,0
Lexicographic Chamberlin-Courant (lex-CC),3775,1,0,0,0,1020,726,0,0,2028,0
Sequential Approval Chamberlin-Courant (seq-CC),5382,3,4,0,0,1249,897,0,0,3229,0
Monroe's Approval Rule (Monroe),2194,2,6,0,0,592,371,0,0,1223,0
Greedy Monroe,4215,3,1,0,0,1089,775,0,0,2347,0
Minimax Approval Voting (MAV),4657,7,4,0,1,1203,894,0,0,2548,0
