,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0004474545454545454,0.0,0.0,2e-06,0.00055,0.0,0.0002,6.4e-05,0.0,0.0,0.004102,0.0
Random Choice,0.004988181818181818,0.0,0.0,0.01147,0.029284,0.000642,0.000792,0.000318,0.0,0.0,0.012364,0.0
Borda ranking,0.000624,0.0,0.0,0.001076,0.005548,0.0,1e-05,0.0,0.0,0.0,0.00023,0.0
Plurality ranking,0.0026374545454545457,0.0,0.0,0.0078,0.021148,1.6e-05,0.0,0.0,0.0,0.0,4.8e-05,0.0
Approval Voting (AV),0.0017141818181818183,0.0,0.0,0.004036,0.013472,0.0,8e-05,1.8e-05,0.0,0.0,0.00125,0.0
Proportional Approval Voting (PAV),0.0019338181818181817,0.0,0.0,0.004884,0.015356,0.0,0.000102,2.6e-05,0.0,0.0,0.000904,0.0
Approval Chamberlin-Courant (CC),0.0037407272727272723,0.0,0.0,0.010428,0.026558,4e-05,0.000466,0.000156,0.0,0.0,0.0035,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.003110181818181818,0.0,0.0,0.008762,0.023086,1.2e-05,0.000254,7e-05,0.0,0.0,0.002028,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0033592727272727277,0.0,0.0,0.009652,0.02485,2e-06,0.000228,5.2e-05,0.0,0.0,0.002168,0.0
Monroe's Approval Rule (Monroe),0.0037367272727272726,0.0,0.0,0.010418,0.02654,4.2e-05,0.000462,0.000156,0.0,0.0,0.003486,0.0
Greedy Monroe,0.002966,0.0,0.0,0.008292,0.022044,2e-06,0.00019,4.6e-05,0.0,0.0,0.002052,0.0
Minimax Approval Voting (MAV),0.0038565454545454545,0.0,0.0,0.010488,0.026742,0.000102,0.000486,0.00016,0.0,0.0,0.004444,0.0
