,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0079,0.0,0.001,0.0021,0.0022,0.0,0.0009,0.0006,0.0,0.0,0.0006,0.0002,0.0
Random Choice,0.3327,0.0012,0.0371,0.0728,0.0786,0.0164,0.035,0.0289,0.0,0.0,0.0289,0.0338,0.0
Borda ranking,0.0319,0.0,0.0032,0.0097,0.0105,0.0,0.0037,0.0024,0.0,0.0,0.0024,0.0,0.0
Plurality ranking,0.1467,0.0,0.0236,0.0491,0.0523,0.0029,0.0004,0.0,0.0,0.0,0.0,0.0184,0.0
Approval Voting (AV),0.0495,0.0,0.0,0.0086,0.0099,0.0002,0.012,0.0094,0.0,0.0,0.0094,0.0,0.0
Proportional Approval Voting (PAV),0.0495,0.0,0.0,0.0086,0.0099,0.0002,0.012,0.0094,0.0,0.0,0.0094,0.0,0.0
Approval Chamberlin-Courant (CC),0.3399,0.001,0.0372,0.0713,0.0767,0.0186,0.0383,0.0326,0.0,0.0,0.0326,0.0316,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0495,0.0,0.0,0.0086,0.0099,0.0002,0.012,0.0094,0.0,0.0,0.0094,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.3282,0.0013,0.0361,0.0716,0.0773,0.0157,0.0368,0.0311,0.0,0.0,0.0311,0.0272,0.0
Monroe's Approval Rule (Monroe),0.3337,0.0009,0.0359,0.07,0.0754,0.0184,0.0378,0.0322,0.0,0.0,0.0322,0.0309,0.0
Greedy Monroe,0.1043,0.0001,0.0084,0.0272,0.0287,0.0004,0.0149,0.0123,0.0,0.0,0.0123,0.0,0.0
Minimax Approval Voting (MAV),0.3399,0.001,0.0372,0.0713,0.0767,0.0186,0.0383,0.0326,0.0,0.0,0.0326,0.0316,0.0
