,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.045454545454545456,0.0,0.0,0.07,0.09,0.01,0.08,0.08,0.0,0.0,0.08,0.08,0.0
Random Choice,0.04727272727272727,0.0,0.0,0.08,0.1,0.0,0.1,0.07,0.0,0.0,0.07,0.1,0.0
Borda ranking,0.002727272727272727,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.015454545454545453,0.0,0.0,0.08,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.005454545454545454,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.005454545454545454,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.03272727272727273,0.0,0.0,0.06,0.08,0.0,0.06,0.05,0.0,0.0,0.05,0.06,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.005454545454545454,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.045454545454545456,0.0,0.0,0.08,0.1,0.0,0.08,0.08,0.0,0.0,0.08,0.08,0.0
Monroe's Approval Rule (Monroe),0.03272727272727273,0.0,0.0,0.06,0.08,0.0,0.06,0.05,0.0,0.0,0.05,0.06,0.0
Greedy Monroe,0.005454545454545454,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.007272727272727273,0.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
