,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.1847,0.0052,0.0078,0.0736,0.079,0.0182,0.0,0.0,0.0,0.0,0.0001,0.0008,0.0
Borda ranking,0.0217,0.0013,0.0,0.0099,0.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.0776,0.0,0.001,0.0362,0.0386,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0781,0.0,0.0008,0.0367,0.0392,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0781,0.0,0.0008,0.0367,0.0392,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.0781,0.0,0.0008,0.0367,0.0392,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0781,0.0,0.0008,0.0367,0.0392,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0776,0.0,0.001,0.0362,0.0386,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.0781,0.0,0.0008,0.0367,0.0392,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0776,0.0,0.001,0.0362,0.0386,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.178,0.0054,0.0062,0.0721,0.0774,0.0153,0.0,0.0,0.0,0.0,0.0002,0.0014,0.0
