,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0010641818181818183,0.0,0.0,0.0,2.4e-05,2e-05,0.003886,0.003886,0.0,0.0,0.003886,0.0
Random Choice,0.009583636363636364,0.0,0.0,0.020642,0.033262,0.00413,0.015792,0.015792,0.0,0.0,0.015792,1e-05
Borda ranking,0.0013281818181818182,0.0,0.0,0.002162,0.005674,0.0,0.002258,0.002258,0.0,0.0,0.002258,0.0
Plurality ranking,0.0031867272727272725,0.0,0.0,0.012834,0.021908,0.000312,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.005571818181818182,0.0,0.0,0.010198,0.01815,0.000302,0.01088,0.01088,0.0,0.0,0.01088,0.0
Proportional Approval Voting (PAV),0.005571818181818182,0.0,0.0,0.010198,0.01815,0.000302,0.01088,0.01088,0.0,0.0,0.01088,0.0
Approval Chamberlin-Courant (CC),0.009580545454545454,0.0,0.0,0.020696,0.0333,0.004178,0.015736,0.015736,0.0,0.0,0.015736,4e-06
Lexicographic Chamberlin-Courant (lex-CC),0.005571818181818182,0.0,0.0,0.010198,0.01815,0.000302,0.01088,0.01088,0.0,0.0,0.01088,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.009103272727272727,0.0,0.0,0.020238,0.032382,0.00275,0.014922,0.014922,0.0,0.0,0.014922,0.0
Monroe's Approval Rule (Monroe),0.009580545454545454,0.0,0.0,0.020696,0.0333,0.004178,0.015736,0.015736,0.0,0.0,0.015736,4e-06
Greedy Monroe,0.007380909090909091,0.0,0.0,0.015936,0.026092,0.00114,0.012674,0.012674,0.0,0.0,0.012674,0.0
Minimax Approval Voting (MAV),0.009580545454545454,0.0,0.0,0.020696,0.0333,0.004178,0.015736,0.015736,0.0,0.0,0.015736,4e-06
