,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.1789,0.0046,0.0069,0.0724,0.0777,0.0165,0.0,0.0,0.0,0.0,0.0,0.0008,0.0
Borda ranking,0.0235,0.001,0.0,0.0108,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
Plurality ranking,0.0843,0.0,0.0005,0.0394,0.0427,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0854,0.0,0.0007,0.0399,0.043,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0854,0.0,0.0007,0.0399,0.043,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.0854,0.0,0.0007,0.0399,0.043,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0854,0.0,0.0007,0.0399,0.043,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0843,0.0,0.0005,0.0394,0.0427,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.0854,0.0,0.0007,0.0399,0.043,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0843,0.0,0.0005,0.0394,0.0427,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.1786,0.0046,0.0064,0.072,0.0776,0.0173,0.0,0.0,0.0,0.0,0.0,0.0007,0.0
