,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0008776363636363636,0.0,4e-06,0.0,0.000558,0.0,0.00244,0.001418,0.0,0.0,0.005024,0.000204
Random Choice,0.01496490909090909,0.00055,0.007598,0.037828,0.045514,0.001914,0.013492,0.010352,0.0,0.0,0.024498,0.022868
Borda ranking,0.0020365454545454545,0.0,0.0,0.006446,0.008412,0.0,0.002556,0.001514,0.0,0.0,0.003366,0.000108
Plurality ranking,0.007819818181818181,0.0,0.002656,0.031566,0.03771,0.000212,4e-06,0.0,0.0,0.0,0.000742,0.013128
Approval Voting (AV),0.002568,0.0,4e-05,0.008028,0.010642,0.0,0.00262,0.001558,0.0,0.0,0.00536,0.0
Proportional Approval Voting (PAV),0.0037814545454545453,1.2e-05,2.8e-05,0.013446,0.017214,0.0,0.004172,0.002744,0.0,0.0,0.00398,0.0
Approval Chamberlin-Courant (CC),0.01418909090909091,0.000494,0.00635,0.037828,0.045528,7.8e-05,0.013016,0.009932,0.0,0.0,0.019008,0.023846
Lexicographic Chamberlin-Courant (lex-CC),0.007106909090909091,0.000212,0.00028,0.026096,0.031018,0.0,0.007974,0.005902,0.0,0.0,0.006694,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.012114727272727272,0.000386,0.005254,0.03568,0.042814,1e-05,0.011606,0.008822,0.0,0.0,0.016422,0.012268
Monroe's Approval Rule (Monroe),0.01059290909090909,0.000288,0.001276,0.0332,0.039976,2.8e-05,0.009094,0.006768,0.0,0.0,0.011512,0.01438
Greedy Monroe,0.0064192727272727275,7.2e-05,0.000478,0.022912,0.027826,0.0,0.006436,0.00454,0.0,0.0,0.00634,0.002008
Minimax Approval Voting (MAV),0.01404490909090909,0.000496,0.006268,0.037534,0.045184,7.8e-05,0.012958,0.009884,0.0,0.0,0.018792,0.0233
