,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0013,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0
Random Choice,0.1427,0.0,0.0,0.0368,0.0642,0.0033,0.0099,0.0057,0.0,0.0,0.0228,0.0,0.0
Borda ranking,0.0156,0.0,0.0,0.004,0.0111,0.0,0.0001,0.0,0.0,0.0,0.0004,0.0,0.0
Plurality ranking,0.0674,0.0,0.0,0.024,0.0432,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0482,0.0,0.0,0.0122,0.0269,0.0,0.0033,0.0012,0.0,0.0,0.0046,0.0,0.0
Proportional Approval Voting (PAV),0.0502,0.0,0.0,0.0128,0.0286,0.0,0.0034,0.0014,0.0,0.0,0.004,0.0,0.0
Approval Chamberlin-Courant (CC),0.1444,0.0,0.0,0.0355,0.0632,0.0043,0.0108,0.0068,0.0,0.0,0.0238,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0655,0.0,0.0,0.0184,0.0363,0.0,0.0039,0.0019,0.0,0.0,0.005,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.1142,0.0,0.0,0.0321,0.0563,0.0005,0.0074,0.0036,0.0,0.0,0.0143,0.0,0.0
Monroe's Approval Rule (Monroe),0.1443,0.0,0.0,0.0355,0.0632,0.0043,0.0108,0.0068,0.0,0.0,0.0237,0.0,0.0
Greedy Monroe,0.085,0.0,0.0,0.0256,0.0445,0.0001,0.0045,0.002,0.0,0.0,0.0083,0.0,0.0
Minimax Approval Voting (MAV),0.1444,0.0,0.0,0.0355,0.0632,0.0043,0.0108,0.0068,0.0,0.0,0.0238,0.0,0.0
