,mean_violations,majority,majority_loser,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,unanimity,local_stability,count_viols
Neural Network,0,0,0,0,0,0,0,0,0,0,0
Random Choice,931,89,84,151,41,165,89,29,165,118,0
Borda ranking,876,78,78,148,32,165,78,27,165,105,0
Plurality ranking,876,78,78,148,32,165,78,27,165,105,0
Approval Voting (AV),0,0,0,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),0,0,0,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),841,77,73,151,0,168,77,25,168,102,0
Lexicographic Chamberlin-Courant (lex-CC),0,0,0,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),790,63,69,148,0,165,63,27,165,90,0
Monroe's Approval Rule (Monroe),0,0,0,0,0,0,0,0,0,0,0
Greedy Monroe,0,0,0,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),0,0,0,0,0,0,0,0,0,0,0
