,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0011,0.0,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0,0.0,0.0007,0.0,0.0
Random Choice,0.3428,0.0,0.0532,0.0837,0.0904,0.0096,0.006,0.0025,0.0,0.0,0.0256,0.0718,0.0
Borda ranking,0.0314,0.0,0.0,0.0103,0.0103,0.0,0.0057,0.0025,0.0,0.0,0.0026,0.0,0.0
Plurality ranking,0.2755,0.0,0.0381,0.0779,0.083,0.0034,0.0,0.0,0.0,0.0,0.0042,0.0689,0.0
Approval Voting (AV),0.0112,0.0,0.0,0.0,0.0,0.0,0.0029,0.0011,0.0,0.0,0.0072,0.0,0.0
Proportional Approval Voting (PAV),0.0364,0.0,0.0,0.0113,0.0113,0.0,0.0068,0.0034,0.0,0.0,0.0036,0.0,0.0
Approval Chamberlin-Courant (CC),0.3371,0.0,0.0528,0.0819,0.0883,0.0082,0.0066,0.0026,0.0,0.0,0.0268,0.0699,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0424,0.0,0.0,0.0135,0.0135,0.0,0.0076,0.0039,0.0,0.0,0.0039,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.2988,0.0,0.0446,0.0785,0.0836,0.0,0.0073,0.0036,0.0,0.0,0.0301,0.0511,0.0
Monroe's Approval Rule (Monroe),0.2669,0.0,0.0339,0.0714,0.0768,0.0003,0.0062,0.0023,0.0,0.0,0.0067,0.0693,0.0
Greedy Monroe,0.0728,0.0,0.0068,0.0202,0.0215,0.0,0.0067,0.0035,0.0,0.0,0.0035,0.0106,0.0
Minimax Approval Voting (MAV),0.277,0.0,0.0353,0.0724,0.0789,0.0,0.0075,0.0035,0.0,0.0,0.0035,0.0759,0.0
