,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,4.745454545454545e-05,0.0,8e-06,0.0,0.000396,0.0,2e-06,2e-06,0.0,0.0,7.4e-05,3.6e-05
Random Choice,0.01134509090909091,0.000872,0.00587,0.039926,0.045434,0.00295,0.00127,0.00127,0.0,0.0,0.020924,0.00628
Borda ranking,0.0012765454545454545,1.4e-05,0.0,0.00619,0.007508,0.0,3.6e-05,3.6e-05,0.0,0.0,0.00023,2.8e-05
Plurality ranking,0.006164363636363636,0.0,0.001084,0.03019,0.034154,0.000206,0.0,0.0,0.0,0.0,0.000658,0.001516
Approval Voting (AV),0.0027167272727272726,0.0,7.6e-05,0.013306,0.015674,1e-05,0.0,0.0,0.0,0.0,0.000818,0.0
Proportional Approval Voting (PAV),0.003961454545454546,2.2e-05,7.8e-05,0.019986,0.023282,4e-06,5.6e-05,5.6e-05,0.0,0.0,9.2e-05,0.0
Approval Chamberlin-Courant (CC),0.006918,0.000538,0.000498,0.03387,0.038294,4e-06,0.000792,0.000792,0.0,0.0,0.001046,0.000264
Lexicographic Chamberlin-Courant (lex-CC),0.006633636363636364,0.000502,0.000396,0.03269,0.036946,4e-06,0.00074,0.00074,0.0,0.0,0.000952,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.006497818181818182,0.00028,0.000582,0.032366,0.036468,2e-06,0.000412,0.000412,0.0,0.0,0.0006,0.000354
Monroe's Approval Rule (Monroe),0.005744545454545455,0.000308,0.000194,0.028266,0.032354,4e-06,0.000492,0.000492,0.0,0.0,0.00079,0.00029
Greedy Monroe,0.005545818181818182,8.8e-05,0.000312,0.02803,0.031872,2e-06,0.000158,0.000158,0.0,0.0,0.00027,0.000114
Minimax Approval Voting (MAV),0.011283636363636364,0.000852,0.005708,0.039896,0.045438,0.002898,0.001244,0.001244,0.0,0.0,0.020878,0.005962
