,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,161,0,0,26,38,5,23,23,0,0,23,23,0
Random Choice,333,1,0,51,81,12,47,47,0,0,47,47,0
Borda ranking,8,0,0,3,5,0,0,0,0,0,0,0,0
Plurality ranking,104,0,0,42,62,0,0,0,0,0,0,0,0
Approval Voting (AV),41,0,0,17,24,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),41,0,0,17,24,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),322,0,0,52,76,10,46,46,0,0,46,46,0
Lexicographic Chamberlin-Courant (lex-CC),41,0,0,17,24,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),335,1,0,49,76,9,50,50,0,0,50,50,0
Monroe's Approval Rule (Monroe),322,0,0,52,76,10,46,46,0,0,46,46,0
Greedy Monroe,80,0,0,33,47,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),322,0,0,52,76,10,46,46,0,0,46,46,0
