,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0172,0.0,0.0021,0.0048,0.005,0.0,0.0017,0.0013,0.0,0.0,0.0013,0.0008,0.0
Random Choice,0.3174,0.0009,0.0312,0.0703,0.0766,0.0172,0.0358,0.0277,0.0,0.0,0.0277,0.03,0.0
Borda ranking,0.0327,0.0,0.0023,0.01,0.0112,0.0,0.0042,0.0025,0.0,0.0,0.0025,0.0,0.0
Plurality ranking,0.1452,0.0,0.0194,0.0483,0.053,0.004,0.0004,0.0,0.0,0.0,0.0,0.0201,0.0
Approval Voting (AV),0.0618,0.0,0.0,0.0102,0.0115,0.0002,0.0157,0.0121,0.0,0.0,0.0121,0.0,0.0
Proportional Approval Voting (PAV),0.0618,0.0,0.0,0.0102,0.0115,0.0002,0.0157,0.0121,0.0,0.0,0.0121,0.0,0.0
Approval Chamberlin-Courant (CC),0.3267,0.0008,0.0303,0.0714,0.0771,0.0181,0.0369,0.0318,0.0,0.0,0.0318,0.0285,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0618,0.0,0.0,0.0102,0.0115,0.0002,0.0157,0.0121,0.0,0.0,0.0121,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.3083,0.0019,0.031,0.0687,0.0735,0.0152,0.036,0.0296,0.0,0.0,0.0296,0.0228,0.0
Monroe's Approval Rule (Monroe),0.3228,0.0008,0.0295,0.0706,0.0763,0.018,0.0364,0.0315,0.0,0.0,0.0315,0.0282,0.0
Greedy Monroe,0.1222,0.0002,0.0061,0.0274,0.0293,0.0008,0.0226,0.0179,0.0,0.0,0.0179,0.0,0.0
Minimax Approval Voting (MAV),0.3267,0.0008,0.0303,0.0714,0.0771,0.0181,0.0369,0.0318,0.0,0.0,0.0318,0.0285,0.0
