,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,186,0,0,30,39,7,27,27,0,0,27,27,0
Random Choice,309,0,0,58,75,8,42,42,0,0,42,42,0
Borda ranking,13,0,0,5,8,0,0,0,0,0,0,0,0
Plurality ranking,112,0,0,49,63,0,0,0,0,0,0,0,0
Approval Voting (AV),45,0,0,20,25,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),45,0,0,20,25,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),372,1,0,61,79,15,54,54,0,0,54,54,0
Lexicographic Chamberlin-Courant (lex-CC),45,0,0,20,25,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),316,0,0,58,75,9,44,43,0,0,43,44,0
Monroe's Approval Rule (Monroe),372,1,0,61,79,15,54,54,0,0,54,54,0
Greedy Monroe,89,0,0,41,48,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),372,1,0,61,79,15,54,54,0,0,54,54,0
