,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0006876363636363636,0.000332,0.000328,8e-06,0.000414,0.00011,0.00045,0.00045,2.2e-05,0.0,0.003504,0.001934
Random Choice,0.017202363636363637,0.017832,0.008912,0.033164,0.038038,0.002472,0.01953,0.018998,6.6e-05,0.00191,0.027902,0.020402
Borda ranking,0.0016181818181818183,0.000518,0.0,0.005468,0.007102,0.0,0.00073,0.00073,3.4e-05,0.0,0.001378,0.00184
Plurality ranking,0.006659272727272727,0.0,0.00491,0.025962,0.02953,1e-05,0.00152,0.0,0.0,0.00152,4e-05,0.00976
Approval Voting (AV),0.0009141818181818181,3.2e-05,0.000116,0.00334,0.005412,6e-06,0.000132,0.000132,4.8e-05,0.0,0.000838,0.0
Proportional Approval Voting (PAV),0.00227,0.001188,0.000812,0.007422,0.010312,0.0,0.001554,0.001554,4.4e-05,0.0,0.002084,0.0
Approval Chamberlin-Courant (CC),0.011587454545454547,0.010954,0.005586,0.030532,0.034304,0.0,0.01261,0.011656,5.2e-05,0.001912,0.012502,0.007354
Lexicographic Chamberlin-Courant (lex-CC),0.008103272727272726,0.007746,0.004016,0.023838,0.02746,0.0,0.00841,0.00841,4e-05,0.0,0.009216,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.011105636363636364,0.010316,0.005452,0.02953,0.033276,4e-06,0.011998,0.01105,5e-05,0.001902,0.011942,0.006642
Monroe's Approval Rule (Monroe),0.0038572727272727274,0.002764,0.00132,0.01152,0.014998,0.0,0.003222,0.003222,3.8e-05,0.0,0.003992,0.001354
Greedy Monroe,0.003612181818181818,0.00228,0.001434,0.011622,0.014998,4e-06,0.002772,0.002772,4e-05,0.0,0.00355,0.000262
Minimax Approval Voting (MAV),0.01305490909090909,0.012502,0.006164,0.030558,0.03526,0.001014,0.01353,0.01353,4.8e-05,0.0,0.021094,0.009904
