,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.479,0.0341,0.0009,0.0698,0.0849,0.0121,0.0695,0.0691,0.0,0.0,0.0691,0.0695,0.0
Borda ranking,0.0078,0.0,0.0,0.0032,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.1149,0.0,0.0009,0.053,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0294,0.0,0.0,0.0131,0.0163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0294,0.0,0.0,0.0131,0.0163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.4904,0.0369,0.0009,0.0708,0.0868,0.011,0.0711,0.0709,0.0,0.0,0.0709,0.0711,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0294,0.0,0.0,0.0131,0.0163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.4589,0.0297,0.001,0.0703,0.0853,0.0,0.0685,0.0678,0.0,0.0,0.0678,0.0685,0.0
Monroe's Approval Rule (Monroe),0.2784,0.0182,0.0,0.0446,0.0556,0.0008,0.04,0.0396,0.0,0.0,0.0396,0.04,0.0
Greedy Monroe,0.0707,0.0,0.0001,0.0327,0.0379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.1143,0.0,0.0007,0.0519,0.0617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
