,total_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,count_viols
Neural Network,14,0,0,5,9,0,0,0,0,0,0,0
Random Choice,307,16,26,75,87,7,37,26,0,1,32,0
Borda ranking,2,0,0,0,2,0,0,0,0,0,0,0
Plurality ranking,62,0,5,25,31,0,1,0,0,0,0,0
STV,20,0,0,7,13,0,0,0,0,0,0,0
Approval Voting (AV),10,0,0,3,7,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),10,0,0,4,6,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),334,21,34,76,88,6,43,28,0,1,37,0
Lexicographic Chamberlin-Courant (lex-CC),32,0,0,15,17,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),200,4,24,63,71,0,21,6,0,1,10,0
Monroe's Approval Rule (Monroe),151,5,0,45,57,3,13,10,0,0,18,0
Greedy Monroe,51,0,0,20,25,0,2,0,0,0,4,0
Minimax Approval Voting (MAV),236,12,14,61,73,3,26,19,0,0,28,0
