,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.00013218181818181818,0.0,0.0,0.0,0.00057,0.0,0.00011,6.2e-05,0.0,0.0,0.000706,0.0
Random Choice,0.017532727272727273,0.01126,0.011264,0.040862,0.044984,0.002102,0.023392,0.018314,0.0,0.000544,0.025288,0.01485
Borda ranking,0.0002889090909090909,0.0,0.0,0.001128,0.002024,0.0,0.0,0.0,0.0,0.0,2.6e-05,0.0
Plurality ranking,0.002913818181818182,0.0,0.001276,0.012534,0.014932,0.0,0.000702,0.0,0.0,0.00047,1.4e-05,0.002124
Approval Voting (AV),0.0006209090909090909,0.0,0.0,0.002484,0.004114,0.0,2.6e-05,1.2e-05,0.0,0.0,0.000194,0.0
Proportional Approval Voting (PAV),0.0007225454545454546,0.0,0.0,0.002986,0.004784,0.0,3.8e-05,1.4e-05,0.0,0.0,0.000126,0.0
Approval Chamberlin-Courant (CC),0.014364727272727272,0.008906,0.007904,0.03912,0.04275,8e-06,0.018058,0.012908,0.0,0.000568,0.01552,0.01227
Lexicographic Chamberlin-Courant (lex-CC),0.0022265454545454546,8e-06,6e-06,0.010256,0.013026,6e-06,0.000324,0.00014,0.0,0.0,0.000726,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.010331272727272727,0.002634,0.007956,0.03579,0.039032,0.0,0.009864,0.00362,0.0,0.000544,0.00489,0.009314
Monroe's Approval Rule (Monroe),0.005792727272727273,0.001674,0.0,0.020916,0.024442,8e-06,0.005434,0.00449,0.0,0.0,0.006518,0.000238
Greedy Monroe,0.0018701818181818181,0.0,0.0,0.00858,0.011194,0.0,0.000176,6.6e-05,0.0,0.0,0.000556,0.0
Minimax Approval Voting (MAV),0.009725272727272728,0.003832,0.00283,0.03209,0.035732,2.4e-05,0.009962,0.007722,0.0,0.0,0.010442,0.004344
