,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0018756363636363638,0.0,0.0,0.0,0.000764,0.0,0.00745,0.00494,0.0,0.0,0.007316,0.000158
Random Choice,0.016180545454545454,0.000286,0.006732,0.036436,0.044604,0.002718,0.022672,0.018354,0.0,0.0,0.023204,0.02298
Borda ranking,0.0025227272727272724,0.0,5.6e-05,0.006696,0.008832,0.0,0.005034,0.003058,0.0,0.0,0.003948,0.000126
Plurality ranking,0.00801509090909091,0.0,0.004128,0.030196,0.036886,0.000632,5.8e-05,0.0,0.0,0.0,0.000116,0.01615
Approval Voting (AV),0.004107272727272727,0.0,1.8e-05,0.007852,0.010808,0.0,0.009786,0.006844,0.0,0.0,0.009872,0.0
Proportional Approval Voting (PAV),0.004892363636363636,0.0,2.2e-05,0.01187,0.015864,0.0,0.010212,0.007252,0.0,0.0,0.008596,0.0
Approval Chamberlin-Courant (CC),0.016098363636363636,0.000294,0.006708,0.036362,0.044528,0.002614,0.022338,0.018132,0.0,0.0,0.022986,0.02312
Lexicographic Chamberlin-Courant (lex-CC),0.009526727272727272,0.00013,0.000858,0.028666,0.034414,0.0,0.016132,0.012292,0.0,0.0,0.012302,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.01460490909090909,0.000328,0.006046,0.035262,0.043084,0.000666,0.021838,0.017694,0.0,0.0,0.02168,0.014056
Monroe's Approval Rule (Monroe),0.015872181818181817,0.000278,0.006096,0.03621,0.04435,0.002466,0.02201,0.017832,0.0,0.0,0.022572,0.02278
Greedy Monroe,0.007819818181818181,3.8e-05,0.000798,0.021736,0.02676,1.2e-05,0.013616,0.010226,0.0,0.0,0.011726,0.001106
Minimax Approval Voting (MAV),0.012904727272727273,0.00021,0.00328,0.032588,0.039646,0.00148,0.019808,0.015768,0.0,0.0,0.018664,0.010508
