,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0011618181818181818,0.0,0.0,0.0,2.6e-05,2e-06,0.004258,0.00424,0.0,0.0,0.00424,1.4e-05
Random Choice,0.015765636363636364,0.0002,0.014384,0.036908,0.040408,0.007494,0.018642,0.017928,0.0,0.0,0.017928,0.01953
Borda ranking,0.0017312727272727273,0.0,0.001022,0.005914,0.006614,0.0,0.001834,0.001828,0.0,0.0,0.001828,4e-06
Plurality ranking,0.007260909090909091,0.0,0.009694,0.026452,0.029022,0.00136,0.000266,0.0,0.0,0.0,0.0,0.013076
Approval Voting (AV),0.0029563636363636363,2e-06,0.0,0.005912,0.006812,1.2e-05,0.00665,0.006566,0.0,0.0,0.006566,0.0
Proportional Approval Voting (PAV),0.0029563636363636363,2e-06,0.0,0.005912,0.006812,1.2e-05,0.00665,0.006566,0.0,0.0,0.006566,0.0
Approval Chamberlin-Courant (CC),0.015752363636363637,0.0002,0.014288,0.036974,0.04053,0.007548,0.018582,0.01791,0.0,0.0,0.01791,0.019334
Lexicographic Chamberlin-Courant (lex-CC),0.0029563636363636363,2e-06,0.0,0.005912,0.006812,1.2e-05,0.00665,0.006566,0.0,0.0,0.006566,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.01560509090909091,0.000198,0.014298,0.036956,0.040472,0.007126,0.018434,0.01774,0.0,0.0,0.01774,0.018692
Monroe's Approval Rule (Monroe),0.015733636363636363,0.000198,0.014252,0.036938,0.040494,0.007538,0.018558,0.017894,0.0,0.0,0.017894,0.019304
Greedy Monroe,0.005534181818181818,1.6e-05,0.00313,0.015152,0.016376,0.000142,0.008768,0.008646,0.0,0.0,0.008646,0.0
Minimax Approval Voting (MAV),0.015752363636363637,0.0002,0.014288,0.036974,0.04053,0.007548,0.018582,0.01791,0.0,0.0,0.01791,0.019334
