,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0010974545454545456,0.0,0.0,0.0,3.8e-05,4.8e-05,0.003994,0.003994,0.0,0.0,0.003994,0.0
Random Choice,0.00973290909090909,0.0,0.0,0.021048,0.03335,0.004136,0.016174,0.016174,0.0,0.0,0.016174,6e-06
Borda ranking,0.001354,0.0,0.0,0.002294,0.00564,0.0,0.00232,0.00232,0.0,0.0,0.00232,0.0
Plurality ranking,0.003223090909090909,0.0,0.0,0.01315,0.021982,0.000318,0.0,0.0,0.0,0.0,0.0,4e-06
Approval Voting (AV),0.005477818181818182,0.0,0.0,0.010172,0.017972,0.000246,0.010622,0.010622,0.0,0.0,0.010622,0.0
Proportional Approval Voting (PAV),0.005477818181818182,0.0,0.0,0.010172,0.017972,0.000246,0.010622,0.010622,0.0,0.0,0.010622,0.0
Approval Chamberlin-Courant (CC),0.009625272727272727,0.0,0.0,0.02093,0.033238,0.004122,0.01586,0.01586,0.0,0.0,0.01586,8e-06
Lexicographic Chamberlin-Courant (lex-CC),0.005477818181818182,0.0,0.0,0.010172,0.017972,0.000246,0.010622,0.010622,0.0,0.0,0.010622,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.009201272727272728,0.0,0.0,0.020448,0.032292,0.002826,0.015216,0.015216,0.0,0.0,0.015216,0.0
Monroe's Approval Rule (Monroe),0.009625272727272727,0.0,0.0,0.02093,0.033238,0.004122,0.01586,0.01586,0.0,0.0,0.01586,8e-06
Greedy Monroe,0.007448545454545455,0.0,0.0,0.015928,0.025886,0.001156,0.012988,0.012988,0.0,0.0,0.012988,0.0
Minimax Approval Voting (MAV),0.009625272727272727,0.0,0.0,0.02093,0.033238,0.004122,0.01586,0.01586,0.0,0.0,0.01586,8e-06
