,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.00013527272727272729,0.0,0.0,0.0,2e-05,8e-06,0.000484,0.000484,0.0,0.0,0.000484,0.0
Random Choice,0.015561454545454547,0.003806,0.019074,0.038178,0.040608,0.007758,0.020948,0.015394,0.0,0.000526,0.015394,0.00949
Borda ranking,0.00036745454545454543,0.0,6e-06,0.001402,0.001962,0.0,0.000224,0.000224,0.0,0.0,0.000224,0.0
Plurality ranking,0.005781090909090909,0.0,0.01245,0.021484,0.022972,4e-05,0.003376,0.0,0.0,0.000516,0.0,0.002754
Approval Voting (AV),0.0011283636363636363,0.0,0.0,0.003668,0.004814,1.8e-05,0.001304,0.001304,0.0,0.0,0.001304,0.0
Proportional Approval Voting (PAV),0.0011283636363636363,0.0,0.0,0.003668,0.004814,1.8e-05,0.001304,0.001304,0.0,0.0,0.001304,0.0
Approval Chamberlin-Courant (CC),0.015323454545454546,0.003832,0.018974,0.03782,0.040196,0.007458,0.020518,0.014908,0.0,0.000552,0.014908,0.009392
Lexicographic Chamberlin-Courant (lex-CC),0.0011283636363636363,0.0,0.0,0.003668,0.004814,1.8e-05,0.001304,0.001304,0.0,0.0,0.001304,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.014226,0.00321,0.019064,0.037296,0.03966,0.005352,0.018078,0.01259,0.0,0.000544,0.01259,0.008102
Monroe's Approval Rule (Monroe),0.012210363636363636,0.002572,0.012664,0.03151,0.033886,0.006198,0.015576,0.013536,0.0,0.0,0.013536,0.004836
Greedy Monroe,0.0028756363636363636,2e-06,0.001096,0.011038,0.012694,0.000208,0.002198,0.002198,0.0,0.0,0.002198,0.0
Minimax Approval Voting (MAV),0.014981636363636364,0.00372,0.018422,0.037268,0.039644,0.007346,0.019966,0.014796,0.0,0.0,0.014796,0.00884
