,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0013176363636363637,0.0,0.0,0.0,1e-05,0.0,0.000508,0.000142,0.0,0.0,0.013822,1e-05
Random Choice,0.015781272727272727,0.0,0.022162,0.04179,0.04724,0.002188,0.000864,0.000302,0.0,0.0,0.01893,0.040118
Borda ranking,0.001602909090909091,0.0,0.0,0.002658,0.002658,0.0,0.000596,0.000194,0.0,0.0,0.011526,0.0
Plurality ranking,0.013289272727272728,0.0,0.014974,0.040076,0.04541,0.000822,0.0,0.0,0.0,0.0,0.005156,0.039744
Approval Voting (AV),0.0013167272727272728,0.0,0.0,0.0,0.0,0.0,0.000508,0.000142,0.0,0.0,0.013834,0.0
Proportional Approval Voting (PAV),0.001405090909090909,0.0,0.0,0.001234,0.001234,0.0,0.000626,0.0002,0.0,0.0,0.012162,0.0
Approval Chamberlin-Courant (CC),0.01519309090909091,0.0,0.020636,0.041524,0.046964,0.0,0.000856,0.000324,0.0,0.0,0.012278,0.044542
Lexicographic Chamberlin-Courant (lex-CC),0.0023434545454545457,0.0,2e-06,0.006562,0.006562,0.0,0.000642,0.000204,0.0,0.0,0.011806,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.014371272727272727,0.0,0.01875,0.039132,0.044024,0.0,0.00085,0.000308,0.0,0.0,0.01552,0.0395
Monroe's Approval Rule (Monroe),0.011586727272727273,0.0,0.006358,0.035848,0.040588,0.0,0.000632,0.000222,0.0,0.0,0.005662,0.038144
Greedy Monroe,0.0036612727272727274,0.0,0.000598,0.010686,0.011398,0.0,0.00059,0.000194,0.0,0.0,0.012042,0.004766
Minimax Approval Voting (MAV),0.01519309090909091,0.0,0.020636,0.041524,0.046964,0.0,0.000856,0.000324,0.0,0.0,0.012278,0.044542
