,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0019,0.0,0.0,0.0,0.0,0.0,0.0007,0.0003,0.0,0.0,0.0007,0.0,0.0
Random Choice,0.3165,0.0017,0.0169,0.0729,0.0858,0.008,0.0314,0.0259,0.0,0.0,0.0391,0.0348,0.0
Borda ranking,0.0389,0.0,0.0,0.0116,0.014,0.0,0.0058,0.0029,0.0,0.0,0.0043,0.0003,0.0
Plurality ranking,0.1568,0.0,0.0086,0.0573,0.0682,0.0017,0.0,0.0,0.0,0.0,0.0001,0.0209,0.0
Approval Voting (AV),0.0568,0.0,0.0001,0.0131,0.0168,0.0,0.0097,0.0054,0.0,0.0,0.0117,0.0,0.0
Proportional Approval Voting (PAV),0.0802,0.0,0.0,0.0242,0.0301,0.0,0.0105,0.0069,0.0,0.0,0.0085,0.0,0.0
Approval Chamberlin-Courant (CC),0.328,0.0022,0.0172,0.0753,0.0885,0.0082,0.0336,0.027,0.0,0.0,0.0408,0.0352,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.1851,0.0014,0.0027,0.0576,0.0666,0.0,0.0222,0.0173,0.0,0.0,0.0173,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.2594,0.0015,0.0122,0.0681,0.0796,0.0012,0.0279,0.0215,0.0,0.0,0.0311,0.0163,0.0
Monroe's Approval Rule (Monroe),0.274,0.0011,0.0101,0.0691,0.0817,0.0032,0.0274,0.0213,0.0,0.0,0.0313,0.0288,0.0
Greedy Monroe,0.1352,0.0004,0.0017,0.0412,0.0488,0.0,0.0162,0.0111,0.0,0.0,0.0126,0.0032,0.0
Minimax Approval Voting (MAV),0.2193,0.0013,0.0064,0.0629,0.0732,0.0018,0.0255,0.0198,0.0,0.0,0.0241,0.0043,0.0
