,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0012,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0
Random Choice,0.1303,0.0,0.0,0.0343,0.0683,0.0027,0.0055,0.0023,0.0,0.0,0.0172,0.0,0.0
Borda ranking,0.0129,0.0,0.0,0.0028,0.0099,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0
Plurality ranking,0.0621,0.0,0.0,0.0196,0.0424,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0471,0.0,0.0,0.0115,0.0287,0.0,0.0014,0.0006,0.0,0.0,0.0049,0.0,0.0
Proportional Approval Voting (PAV),0.0488,0.0,0.0,0.012,0.0302,0.0,0.0013,0.0006,0.0,0.0,0.0047,0.0,0.0
Approval Chamberlin-Courant (CC),0.1318,0.0,0.0,0.0329,0.066,0.0039,0.0065,0.0031,0.0,0.0,0.0194,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0684,0.0,0.0,0.0193,0.0416,0.0,0.0018,0.0008,0.0,0.0,0.0049,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.1039,0.0,0.0,0.0287,0.0582,0.0006,0.0037,0.0019,0.0,0.0,0.0108,0.0,0.0
Monroe's Approval Rule (Monroe),0.1318,0.0,0.0,0.0329,0.066,0.0039,0.0065,0.0031,0.0,0.0,0.0194,0.0,0.0
Greedy Monroe,0.0848,0.0,0.0,0.0239,0.0503,0.0001,0.0024,0.0011,0.0,0.0,0.007,0.0,0.0
Minimax Approval Voting (MAV),0.1318,0.0,0.0,0.0329,0.066,0.0039,0.0065,0.0031,0.0,0.0,0.0194,0.0,0.0
