,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.001774909090909091,0.0,0.0,0.0,4.8e-05,0.0,0.006506,0.006476,0.0,0.0,0.006476,1.4e-05
Random Choice,0.01488690909090909,0.000158,0.008492,0.035122,0.040082,0.007312,0.01852,0.0179,0.0,0.0,0.0179,0.01827
Borda ranking,0.0022147272727272727,0.0,0.000868,0.00687,0.00821,0.0,0.002812,0.002798,0.0,0.0,0.002798,6e-06
Plurality ranking,0.007445454545454545,0.0,0.006682,0.027576,0.031392,0.001954,0.00024,0.0,0.0,0.0,0.0,0.014056
Approval Voting (AV),0.004636727272727273,4e-06,0.0,0.008426,0.010076,2.6e-05,0.010936,0.010768,0.0,0.0,0.010768,0.0
Proportional Approval Voting (PAV),0.004636727272727273,4e-06,0.0,0.008426,0.010076,2.6e-05,0.010936,0.010768,0.0,0.0,0.010768,0.0
Approval Chamberlin-Courant (CC),0.014922,0.000162,0.008538,0.035242,0.040174,0.007474,0.018642,0.017976,0.0,0.0,0.017976,0.017958
Lexicographic Chamberlin-Courant (lex-CC),0.004636727272727273,4e-06,0.0,0.008426,0.010076,2.6e-05,0.010936,0.010768,0.0,0.0,0.010768,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.014657818181818182,0.000138,0.008448,0.0351,0.039992,0.006662,0.018464,0.017844,0.0,0.0,0.017844,0.016744
Monroe's Approval Rule (Monroe),0.014919636363636364,0.00016,0.008534,0.035238,0.04017,0.007472,0.018638,0.017974,0.0,0.0,0.017974,0.017956
Greedy Monroe,0.006801636363636364,2.4e-05,0.002022,0.016828,0.018956,0.000226,0.012422,0.01217,0.0,0.0,0.01217,0.0
Minimax Approval Voting (MAV),0.014922,0.000162,0.008538,0.035242,0.040174,0.007474,0.018642,0.017976,0.0,0.0,0.017976,0.017958
