,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,5.8181818181818185e-06,0.0,4e-06,0.0,6e-06,1.6e-05,0.0,0.0,0.0,0.0,0.0,3.4e-05
Random Choice,0.00821690909090909,0.00107,0.002906,0.037436,0.040624,0.007366,0.0,0.0,0.0,0.0,0.000176,0.000808
Borda ranking,0.0010523636363636362,0.000258,0.0,0.005298,0.005966,0.0,0.0,0.0,0.0,0.0,0.0,5.4e-05
Plurality ranking,0.004183636363636364,0.0,0.000196,0.021764,0.023414,0.000646,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.004183454545454545,0.0,0.000202,0.021752,0.023392,0.000672,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.004183454545454545,0.0,0.000202,0.021752,0.023392,0.000672,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.004183454545454545,0.0,0.000202,0.021752,0.023392,0.000672,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.004183454545454545,0.0,0.000202,0.021752,0.023392,0.000672,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.004194909090909091,0.0,0.000208,0.021818,0.023462,0.000656,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.004183454545454545,0.0,0.000202,0.021752,0.023392,0.000672,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.004194909090909091,0.0,0.000208,0.021818,0.023462,0.000656,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.00819509090909091,0.001078,0.002874,0.037342,0.04055,0.007318,0.0,0.0,0.0,0.0,0.000168,0.000816
