,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0115,0.0,0.0013,0.0029,0.0032,0.0,0.0014,0.0011,0.0,0.0,0.0011,0.0003,0.0
Random Choice,0.3361,0.0016,0.0316,0.0713,0.0777,0.0184,0.039,0.0326,0.0,0.0,0.0326,0.0313,0.0
Borda ranking,0.0394,0.0,0.0029,0.011,0.0136,0.0,0.0047,0.0036,0.0,0.0,0.0036,0.0,0.0
Plurality ranking,0.1542,0.0,0.0208,0.0503,0.056,0.0048,0.0002,0.0,0.0,0.0,0.0,0.0221,0.0
Approval Voting (AV),0.0728,0.0,0.0,0.0115,0.0145,0.0001,0.0177,0.0145,0.0,0.0,0.0145,0.0,0.0
Proportional Approval Voting (PAV),0.0728,0.0,0.0,0.0115,0.0145,0.0001,0.0177,0.0145,0.0,0.0,0.0145,0.0,0.0
Approval Chamberlin-Courant (CC),0.3274,0.001,0.0318,0.0707,0.0786,0.018,0.0369,0.03,0.0,0.0,0.03,0.0304,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0728,0.0,0.0,0.0115,0.0145,0.0001,0.0177,0.0145,0.0,0.0,0.0145,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.3031,0.0009,0.0312,0.0694,0.0759,0.0133,0.0347,0.0276,0.0,0.0,0.0276,0.0225,0.0
Monroe's Approval Rule (Monroe),0.3243,0.001,0.0312,0.0701,0.078,0.0179,0.0365,0.0297,0.0,0.0,0.0297,0.0302,0.0
Greedy Monroe,0.1211,0.0001,0.0064,0.0267,0.0299,0.0006,0.0218,0.0178,0.0,0.0,0.0178,0.0,0.0
Minimax Approval Voting (MAV),0.3274,0.001,0.0318,0.0707,0.0786,0.018,0.0369,0.03,0.0,0.0,0.03,0.0304,0.0
