,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,5.9272727272727275e-05,0.0,2e-05,0.0,0.000408,0.0,0.0,0.0,0.0,0.0,0.00014,7.8e-05
Random Choice,0.011052,0.000758,0.004884,0.038642,0.045118,0.002644,0.001132,0.001132,0.0,0.0,0.019898,0.007364
Borda ranking,0.0013436363636363637,3.2e-05,0.0,0.006334,0.007882,0.0,6e-05,6e-05,0.0,0.0,0.000368,4.4e-05
Plurality ranking,0.006318181818181818,0.0,0.001034,0.030252,0.035044,0.000258,0.0,0.0,0.0,0.0,0.000778,0.002134
Approval Voting (AV),0.003098909090909091,0.0,7e-05,0.015036,0.017912,1.6e-05,2e-06,2e-06,0.0,0.0,0.00105,0.0
Proportional Approval Voting (PAV),0.004213636363636364,2.6e-05,0.000102,0.020956,0.025046,4e-06,4.8e-05,4.8e-05,0.0,0.0,0.00012,0.0
Approval Chamberlin-Courant (CC),0.006760545454545455,0.000502,0.000468,0.03273,0.037932,4e-06,0.00072,0.00072,0.0,0.0,0.00096,0.00033
Lexicographic Chamberlin-Courant (lex-CC),0.006504545454545455,0.00047,0.00038,0.0317,0.036732,4e-06,0.000682,0.000682,0.0,0.0,0.0009,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0064185454545454546,0.000242,0.000532,0.031556,0.036506,6e-06,0.000372,0.000372,0.0,0.0,0.000578,0.00044
Monroe's Approval Rule (Monroe),0.005788727272727273,0.000294,0.000232,0.028206,0.033074,4e-06,0.000438,0.000438,0.0,0.0,0.000696,0.000294
Greedy Monroe,0.005689090909090909,8.6e-05,0.00034,0.028316,0.033046,6e-06,0.000164,0.000164,0.0,0.0,0.000284,0.000174
Minimax Approval Voting (MAV),0.011015454545454545,0.00075,0.004936,0.038712,0.045116,0.002742,0.0011,0.0011,0.0,0.0,0.019702,0.007012
