,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0024976363636363633,0.0,0.0,0.0,0.0,0.0,0.009158,0.009158,0.0,0.0,0.009158,0.0
Random Choice,0.01841872727272727,0.0,0.036938,0.036938,0.040716,0.0074,0.01592,0.015808,0.0,0.0,0.015808,0.033078
Borda ranking,0.002838,0.0,0.00411,0.00411,0.00411,0.0,0.006296,0.006296,0.0,0.0,0.006296,0.0
Plurality ranking,0.012536727272727272,0.0,0.032642,0.032642,0.036606,0.002752,2.8e-05,0.0,0.0,0.0,0.0,0.033234
Approval Voting (AV),0.0024981818181818182,0.0,0.0,0.0,0.0,0.0,0.00916,0.00916,0.0,0.0,0.00916,0.0
Proportional Approval Voting (PAV),0.0024981818181818182,0.0,0.0,0.0,0.0,0.0,0.00916,0.00916,0.0,0.0,0.00916,0.0
Approval Chamberlin-Courant (CC),0.018439272727272728,0.0,0.03687,0.03687,0.040726,0.00732,0.015938,0.015854,0.0,0.0,0.015854,0.0334
Lexicographic Chamberlin-Courant (lex-CC),0.0024981818181818182,0.0,0.0,0.0,0.0,0.0,0.00916,0.00916,0.0,0.0,0.00916,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.018345636363636363,0.0,0.036992,0.036992,0.04073,0.007196,0.015574,0.015474,0.0,0.0,0.015474,0.03337
Monroe's Approval Rule (Monroe),0.018439272727272728,0.0,0.03687,0.03687,0.040726,0.00732,0.015938,0.015854,0.0,0.0,0.015854,0.0334
Greedy Monroe,0.007557636363636364,0.0,0.014876,0.014876,0.014876,0.0,0.012846,0.01283,0.0,0.0,0.01283,0.0
Minimax Approval Voting (MAV),0.018439272727272728,0.0,0.03687,0.03687,0.040726,0.00732,0.015938,0.015854,0.0,0.0,0.015854,0.0334
