,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0007052727272727272,0.0,0.0,0.0,0.000428,0.0,0.002036,0.001134,0.0,0.0,0.004048,0.000108
Random Choice,0.015550545454545454,0.000682,0.008734,0.039848,0.046212,0.0021,0.01422,0.011096,0.0,0.0,0.025112,0.023052
Borda ranking,0.0017872727272727272,2e-06,0.0,0.00604,0.007436,0.0,0.00213,0.001226,0.0,0.0,0.002756,7e-05
Plurality ranking,0.007625454545454545,0.0,0.002814,0.031656,0.03657,0.000198,2e-06,0.0,0.0,0.0,0.000582,0.012058
Approval Voting (AV),0.0022034545454545453,4e-06,2.4e-05,0.007174,0.008972,0.0,0.00227,0.00131,0.0,0.0,0.004484,0.0
Proportional Approval Voting (PAV),0.0033103636363636365,2e-05,2.6e-05,0.01216,0.014832,0.0,0.003588,0.002332,0.0,0.0,0.003456,0.0
Approval Chamberlin-Courant (CC),0.01465290909090909,0.000604,0.007428,0.039676,0.04601,7e-05,0.01376,0.010642,0.0,0.0,0.019668,0.023324
Lexicographic Chamberlin-Courant (lex-CC),0.007055272727272727,0.000286,0.000356,0.026444,0.030306,0.0,0.007806,0.005814,0.0,0.0,0.006596,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.012459454545454546,0.000496,0.006026,0.037448,0.043258,6e-06,0.011974,0.00915,0.0,0.0,0.016594,0.012102
Monroe's Approval Rule (Monroe),0.010501454545454546,0.000352,0.00111,0.033712,0.039156,4e-06,0.009348,0.0071,0.0,0.0,0.01132,0.013414
Greedy Monroe,0.005947818181818182,6.8e-05,0.000448,0.022168,0.025848,0.0,0.005718,0.004012,0.0,0.0,0.00566,0.001504
Minimax Approval Voting (MAV),0.014538,0.000606,0.007376,0.039418,0.045732,7e-05,0.013694,0.010594,0.0,0.0,0.019484,0.022944
