,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,1922,1,27,381,381,0,325,325,0,0,448,34,0
Random Choice,19915,1183,1762,3758,3758,414,2595,2074,0,209,2347,1815,0
Borda ranking,1979,1,38,615,615,0,171,171,0,0,243,125,0
Plurality ranking,9930,0,1390,3134,3134,3,809,0,0,191,0,1269,0
Approval Voting (AV),2930,17,13,488,488,0,587,587,0,0,750,0,0
Proportional Approval Voting (PAV),3456,53,63,690,690,0,615,615,0,0,730,0,0
Approval Chamberlin-Courant (CC),19983,1177,1764,3767,3767,387,2616,2086,0,202,2365,1852,0
Lexicographic Chamberlin-Courant (lex-CC),10041,517,727,2499,2499,0,1407,1161,0,0,1231,0,0
Sequential Approval Chamberlin-Courant (seq-CC),17608,1033,1559,3548,3548,214,2297,1831,0,208,2037,1333,0
Monroe's Approval Rule (Monroe),8950,375,447,2008,2008,72,1132,1088,0,0,1323,497,0
Greedy Monroe,5294,150,222,1275,1275,5,733,718,0,0,862,54,0
Minimax Approval Voting (MAV),15690,851,1222,3471,3471,153,2104,1707,0,0,1929,782,0
