,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.012909090909090908,0.0,0.0,0.034,0.056,0.002,0.0,0.0,0.0,0.0,0.022,0.022
Random Choice,0.02309090909090909,0.0,0.0,0.044,0.082,0.012,0.0,0.0,0.0,0.0,0.058,0.058
Borda ranking,0.0009090909090909091,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.004,0.0,0.0,0.016,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0041818181818181815,0.0,0.0,0.016,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0041818181818181815,0.0,0.0,0.016,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.0041818181818181815,0.0,0.0,0.016,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0041818181818181815,0.0,0.0,0.016,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.004,0.0,0.0,0.016,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.0041818181818181815,0.0,0.0,0.016,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.004,0.0,0.0,0.016,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.019636363636363636,0.0,0.0,0.052,0.074,0.006,0.0,0.0,0.0,0.0,0.042,0.042
