,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.03909090909090909,0.02,0.05,0.06,0.06,0.0,0.07,0.05,0.0,0.0,0.06,0.04,0.0
Random Choice,0.034545454545454546,0.03,0.04,0.05,0.05,0.01,0.06,0.05,0.0,0.0,0.05,0.04,0.0
Borda ranking,0.00909090909090909,0.0,0.0,0.03,0.03,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.0
Plurality ranking,0.02090909090909091,0.0,0.05,0.06,0.06,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0
Approval Voting (AV),0.00909090909090909,0.0,0.0,0.0,0.01,0.0,0.03,0.03,0.0,0.0,0.03,0.0,0.0
Proportional Approval Voting (PAV),0.00909090909090909,0.0,0.0,0.0,0.01,0.0,0.03,0.03,0.0,0.0,0.03,0.0,0.0
Approval Chamberlin-Courant (CC),0.03272727272727273,0.02,0.03,0.06,0.07,0.0,0.06,0.03,0.0,0.0,0.04,0.05,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.024545454545454547,0.01,0.03,0.06,0.07,0.0,0.04,0.03,0.0,0.0,0.03,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.03363636363636364,0.02,0.04,0.06,0.07,0.0,0.08,0.03,0.0,0.0,0.03,0.04,0.0
Monroe's Approval Rule (Monroe),0.021818181818181816,0.01,0.02,0.04,0.05,0.0,0.04,0.02,0.0,0.0,0.03,0.03,0.0
Greedy Monroe,0.015454545454545453,0.0,0.02,0.04,0.04,0.0,0.02,0.02,0.0,0.0,0.03,0.0,0.0
Minimax Approval Voting (MAV),0.024545454545454547,0.01,0.02,0.06,0.07,0.0,0.04,0.03,0.0,0.0,0.04,0.0,0.0
