,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,125,9,3,23,30,0,11,10,0,1,18,17,0
Random Choice,336,31,11,52,66,3,33,33,0,4,60,43,0
Borda ranking,43,2,0,11,15,0,4,4,0,0,4,3,0
Plurality ranking,128,0,7,44,52,0,4,0,0,4,0,17,0
Approval Voting (AV),20,0,0,5,11,0,1,1,0,0,2,0,0
Proportional Approval Voting (PAV),47,2,2,14,22,0,2,2,0,0,3,0,0
Approval Chamberlin-Courant (CC),204,16,8,48,60,0,21,19,0,3,22,7,0
Lexicographic Chamberlin-Courant (lex-CC),173,14,7,43,55,0,17,17,0,0,20,0,0
Sequential Approval Chamberlin-Courant (seq-CC),187,12,8,48,60,0,16,15,0,4,18,6,0
Monroe's Approval Rule (Monroe),118,10,3,26,38,0,11,11,0,0,13,6,0
Greedy Monroe,70,2,3,23,33,0,2,2,0,0,5,0,0
Minimax Approval Voting (MAV),277,24,10,50,63,2,28,28,0,0,50,22,0
