,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0053,0.0,0.0,0.0015,0.0023,0.0,0.0007,0.0003,0.0,0.0,0.0003,0.0,0.0
Random Choice,0.1992,0.0,0.0,0.047,0.0663,0.0106,0.0315,0.0219,0.0,0.0,0.0219,0.0,0.0
Borda ranking,0.0252,0.0,0.0,0.0053,0.0107,0.0,0.0046,0.0023,0.0,0.0,0.0023,0.0,0.0
Plurality ranking,0.0654,0.0,0.0,0.0263,0.0384,0.0006,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
Approval Voting (AV),0.0934,0.0,0.0,0.0199,0.0301,0.0009,0.0183,0.0121,0.0,0.0,0.0121,0.0,0.0
Proportional Approval Voting (PAV),0.0934,0.0,0.0,0.0199,0.0301,0.0009,0.0183,0.0121,0.0,0.0,0.0121,0.0,0.0
Approval Chamberlin-Courant (CC),0.2041,0.0,0.0,0.0491,0.0673,0.0133,0.0302,0.0221,0.0,0.0,0.0221,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0934,0.0,0.0,0.0199,0.0301,0.0009,0.0183,0.0121,0.0,0.0,0.0121,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.1911,0.0,0.0,0.0466,0.0633,0.0069,0.0305,0.0219,0.0,0.0,0.0219,0.0,0.0
Monroe's Approval Rule (Monroe),0.2041,0.0,0.0,0.0491,0.0673,0.0133,0.0302,0.0221,0.0,0.0,0.0221,0.0,0.0
Greedy Monroe,0.1333,0.0,0.0,0.033,0.0457,0.0036,0.0216,0.0147,0.0,0.0,0.0147,0.0,0.0
Minimax Approval Voting (MAV),0.2041,0.0,0.0,0.0491,0.0673,0.0133,0.0302,0.0221,0.0,0.0,0.0221,0.0,0.0
