,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,7388,0,4,953,953,0,1616,785,0,0,2826,251,0
Random Choice,20489,39,59,3906,3906,117,3999,2946,0,0,3891,1626,0
Borda ranking,9273,0,0,807,807,0,2414,1413,0,0,3531,301,0
Plurality ranking,9176,0,97,3715,3715,29,56,0,0,0,89,1475,0
Approval Voting (AV),12714,4,0,1387,1387,0,3422,2320,0,0,4194,0,0
Proportional Approval Voting (PAV),15835,6,7,3433,3433,0,3432,2345,0,0,3179,0,0
Approval Chamberlin-Courant (CC),20711,47,56,3910,3910,129,4075,3004,0,0,3950,1630,0
Lexicographic Chamberlin-Courant (lex-CC),16767,13,21,4035,4035,0,3425,2295,0,0,2943,0,0
Sequential Approval Chamberlin-Courant (seq-CC),19917,32,63,3898,3898,75,3948,2872,0,0,3820,1311,0
Monroe's Approval Rule (Monroe),20422,44,51,3918,3918,59,4009,2944,0,0,3789,1690,0
Greedy Monroe,17354,20,17,3496,3496,1,3677,2587,0,0,3572,488,0
Minimax Approval Voting (MAV),20763,44,53,4040,4040,2,4145,3038,0,0,3573,1828,0
