,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.1844,0.004,0.007,0.074,0.0797,0.0174,0.0,0.0,0.0,0.0,0.0009,0.0014,0.0
Borda ranking,0.0231,0.0009,0.0,0.0106,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.0838,0.0,0.0004,0.0399,0.0419,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0836,0.0,0.0005,0.0395,0.0415,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0836,0.0,0.0005,0.0395,0.0415,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.0836,0.0,0.0005,0.0395,0.0415,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0836,0.0,0.0005,0.0395,0.0415,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0838,0.0,0.0004,0.0399,0.0419,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.0836,0.0,0.0005,0.0395,0.0415,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0838,0.0,0.0004,0.0399,0.0419,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.1859,0.0042,0.0074,0.0751,0.0799,0.018,0.0,0.0,0.0,0.0,0.0002,0.0011,0.0
