,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.1825,0.0,0.0173,0.0709,0.077,0.0173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borda ranking,0.0094,0.0,0.0,0.0047,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.1542,0.0,0.0075,0.0669,0.0723,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.152,0.0,0.0063,0.0669,0.0725,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.152,0.0,0.0063,0.0669,0.0725,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.152,0.0,0.0063,0.0669,0.0725,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.152,0.0,0.0063,0.0669,0.0725,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.1542,0.0,0.0075,0.0669,0.0723,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.152,0.0,0.0063,0.0669,0.0725,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.1542,0.0,0.0075,0.0669,0.0723,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.1827,0.0,0.017,0.0715,0.0772,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
