,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0001810909090909091,0.0,0.0,0.0,0.000538,8e-06,0.000518,0.000276,0.0,0.0,0.00065,0.0
Random Choice,0.01741018181818182,0.007548,0.015056,0.040762,0.04475,0.002912,0.02637,0.01835,0.0,0.000578,0.021484,0.013702
Borda ranking,0.00031890909090909094,0.0,0.0,0.001182,0.002028,0.0,0.000132,4.2e-05,0.0,0.0,0.000124,0.0
Plurality ranking,0.004777454545454545,0.0,0.005066,0.019284,0.021644,2e-06,0.002696,0.0,0.0,0.000536,2e-06,0.003322
Approval Voting (AV),0.0008250909090909091,0.0,0.0,0.002786,0.00443,0.0,0.000716,0.000316,0.0,0.0,0.000828,0.0
Proportional Approval Voting (PAV),0.0008336363636363637,0.0,0.0,0.002868,0.004506,0.0,0.000698,0.000306,0.0,0.0,0.000792,0.0
Approval Chamberlin-Courant (CC),0.017486727272727272,0.007618,0.015002,0.040488,0.044462,0.00296,0.02676,0.01856,0.0,0.000584,0.021888,0.014032
Lexicographic Chamberlin-Courant (lex-CC),0.0018121818181818183,2e-06,6.2e-05,0.007798,0.009798,0.0,0.000904,0.000418,0.0,0.0,0.000952,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.014086363636363636,0.003944,0.014256,0.03929,0.042956,0.000368,0.019182,0.010404,0.0,0.000582,0.013144,0.010824
Monroe's Approval Rule (Monroe),0.010657272727272729,0.002858,0.00106,0.029556,0.033522,0.001436,0.016598,0.01309,0.0,0.0,0.016208,0.002902
Greedy Monroe,0.0024974545454545453,0.0,3.4e-05,0.01034,0.012992,2e-06,0.001524,0.000796,0.0,0.0,0.001784,0.0
Minimax Approval Voting (MAV),0.012276545454545455,0.003204,0.005902,0.03312,0.037092,0.001932,0.01808,0.01351,0.0,0.0,0.01675,0.005452
