,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
Random Choice,0.2553,0.0417,0.0102,0.066,0.0717,0.0154,0.0036,0.0036,0.0036,0.0036,0.0128,0.0231,0.0
Borda ranking,0.031,0.0063,0.0,0.0106,0.0124,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0
Plurality ranking,0.0236,0.0,0.0001,0.0101,0.0129,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0224,0.0,0.0001,0.0095,0.0123,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0224,0.0,0.0001,0.0095,0.0123,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.0224,0.0,0.0001,0.0095,0.0123,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0224,0.0,0.0001,0.0095,0.0123,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0236,0.0,0.0001,0.0101,0.0129,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.0224,0.0,0.0001,0.0095,0.0123,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0236,0.0,0.0001,0.0101,0.0129,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.2282,0.0404,0.0103,0.0634,0.0691,0.0161,0.0,0.0,0.0,0.0,0.0094,0.0195,0.0
