,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,4.545454545454545e-05,0.0,1e-05,0.0,0.00039,0.0,0.0,0.0,0.0,0.0,6.4e-05,3.2e-05
Random Choice,0.011294727272727272,0.000856,0.005694,0.039774,0.045466,0.002758,0.001268,0.001268,0.0,0.0,0.020888,0.00627
Borda ranking,0.0012567272727272726,1.4e-05,0.0,0.006074,0.007312,0.0,4.8e-05,4.8e-05,0.0,0.0,0.000298,3e-05
Plurality ranking,0.006095454545454545,0.0,0.001096,0.029792,0.033804,0.00022,0.0,0.0,0.0,0.0,0.000666,0.001472
Approval Voting (AV),0.0027174545454545455,0.0,6.6e-05,0.01331,0.01566,1e-05,0.0,0.0,0.0,0.0,0.000846,0.0
Proportional Approval Voting (PAV),0.0038867272727272726,3.2e-05,7e-05,0.019554,0.02287,2e-06,6.4e-05,6.4e-05,0.0,0.0,9.8e-05,0.0
Approval Chamberlin-Courant (CC),0.006843818181818182,0.000542,0.000446,0.033496,0.037972,2e-06,0.000778,0.000778,0.0,0.0,0.001046,0.000222
Lexicographic Chamberlin-Courant (lex-CC),0.006574363636363636,0.00051,0.000356,0.032364,0.036662,2e-06,0.00073,0.00073,0.0,0.0,0.000964,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0064498181818181816,0.000252,0.000576,0.03209,0.036294,2e-06,0.000366,0.000366,0.0,0.0,0.000596,0.000406
Monroe's Approval Rule (Monroe),0.005666909090909091,0.000324,0.000192,0.02784,0.031978,4e-06,0.000504,0.000504,0.0,0.0,0.000776,0.000214
Greedy Monroe,0.005492727272727273,9.6e-05,0.000298,0.027692,0.031646,2e-06,0.000142,0.000142,0.0,0.0,0.00029,0.000112
Minimax Approval Voting (MAV),0.011242,0.000872,0.005896,0.039564,0.045304,0.00273,0.00127,0.00127,0.0,0.0,0.020784,0.005972
