,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.02268309090909091,8.4e-05,0.02928,0.046524,0.046534,0.003276,0.029224,0.026526,0.0,0.0,0.028184,0.039882
Borda ranking,3.6363636363636366e-07,0.0,0.0,2e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.0006603636363636363,0.0,0.00079,0.002596,0.002596,0.0,0.0,0.0,0.0,0.0,0.0,0.001282
Approval Voting (AV),1.8181818181818183e-07,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),3.6363636363636366e-07,0.0,0.0,2e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.022764363636363635,6.4e-05,0.029854,0.046694,0.046706,0.003216,0.029248,0.026442,0.0,0.0,0.028238,0.039946
Lexicographic Chamberlin-Courant (lex-CC),3.6363636363636366e-07,0.0,0.0,2e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.022174363636363634,4.6e-05,0.028646,0.0466,0.04661,1.4e-05,0.028792,0.025856,0.0,0.0,0.027576,0.039778
Monroe's Approval Rule (Monroe),0.016309272727272728,2.6e-05,0.012654,0.0382,0.038208,0.001044,0.020898,0.018606,0.0,0.0,0.019434,0.030332
Greedy Monroe,0.00015236363636363638,0.0,0.000106,0.000718,0.00072,0.0,2.2e-05,2e-06,0.0,0.0,2.8e-05,8e-05
Minimax Approval Voting (MAV),0.01234709090909091,0.0,0.016958,0.037582,0.03759,0.0,0.00307,0.001514,0.0,0.0,0.001514,0.03759
