,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0002,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.1215,0.0,0.0,0.0448,0.0672,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borda ranking,0.0177,0.0,0.0,0.006,0.0117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.0506,0.0,0.0,0.0184,0.0313,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0506,0.0,0.0,0.0183,0.0316,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0506,0.0,0.0,0.0183,0.0316,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.0506,0.0,0.0,0.0183,0.0316,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0506,0.0,0.0,0.0183,0.0316,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0506,0.0,0.0,0.0184,0.0313,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.0506,0.0,0.0,0.0183,0.0316,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0506,0.0,0.0,0.0184,0.0313,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.1223,0.0,0.0,0.0438,0.0664,0.0121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
