,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.001344909090909091,0.0,0.0,0.0,0.000532,0.0,0.005412,0.00346,0.0,0.0,0.005284,0.000102
Random Choice,0.017227090909090907,0.000428,0.011458,0.03931,0.045424,0.002922,0.022938,0.018908,0.0,0.0,0.023568,0.024542
Borda ranking,0.0020547272727272723,0.0,3.4e-05,0.005956,0.007336,0.0,0.003866,0.002296,0.0,0.0,0.003032,8.2e-05
Plurality ranking,0.008022545454545456,0.0,0.005696,0.030968,0.035646,0.000464,7.2e-05,0.0,0.0,0.0,8.2e-05,0.01532
Approval Voting (AV),0.002991818181818182,0.0,2.2e-05,0.006296,0.008008,0.0,0.00691,0.004712,0.0,0.0,0.006962,0.0
Proportional Approval Voting (PAV),0.003521090909090909,2e-06,1.2e-05,0.008994,0.011388,0.0,0.007226,0.00498,0.0,0.0,0.00613,0.0
Approval Chamberlin-Courant (CC),0.017245454545454543,0.000408,0.011656,0.039318,0.045402,0.002938,0.022918,0.01881,0.0,0.0,0.023456,0.024794
Lexicographic Chamberlin-Courant (lex-CC),0.009070363636363637,0.000172,0.001564,0.02903,0.03294,0.0,0.014164,0.010948,0.0,0.0,0.010956,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.015456727272727271,0.000416,0.010558,0.03801,0.04377,0.00068,0.02154,0.017622,0.0,0.0,0.021506,0.015922
Monroe's Approval Rule (Monroe),0.016551272727272727,0.000352,0.009592,0.038768,0.044792,0.002584,0.02197,0.017932,0.0,0.0,0.022336,0.023738
Greedy Monroe,0.006501454545454545,2.8e-05,0.001046,0.019536,0.022756,2e-06,0.010476,0.007764,0.0,0.0,0.008934,0.000974
Minimax Approval Voting (MAV),0.01278709090909091,0.000286,0.005628,0.033862,0.038868,0.001446,0.01858,0.014884,0.0,0.0,0.01726,0.009844
