,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0096,0.0,0.0007,0.0026,0.0028,0.0,0.0012,0.0009,0.0,0.0,0.0009,0.0002,0.0
Random Choice,0.3289,0.0013,0.0237,0.0729,0.0799,0.0205,0.0374,0.0312,0.0,0.0,0.0312,0.0308,0.0
Borda ranking,0.0418,0.0,0.002,0.0136,0.0157,0.0,0.0049,0.0028,0.0,0.0,0.0028,0.0,0.0
Plurality ranking,0.1529,0.0,0.018,0.0522,0.0583,0.0038,0.0002,0.0,0.0,0.0,0.0,0.0204,0.0
Approval Voting (AV),0.0876,0.0001,0.0,0.0161,0.0199,0.0004,0.0201,0.0155,0.0,0.0,0.0155,0.0,0.0
Proportional Approval Voting (PAV),0.0876,0.0001,0.0,0.0161,0.0199,0.0004,0.0201,0.0155,0.0,0.0,0.0155,0.0,0.0
Approval Chamberlin-Courant (CC),0.3148,0.0008,0.0217,0.0703,0.0773,0.0174,0.0365,0.0303,0.0,0.0,0.0303,0.0302,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0876,0.0001,0.0,0.0161,0.0199,0.0004,0.0201,0.0155,0.0,0.0,0.0155,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.295,0.0006,0.0241,0.0682,0.0752,0.0138,0.0349,0.0288,0.0,0.0,0.0288,0.0206,0.0
Monroe's Approval Rule (Monroe),0.3144,0.0008,0.0216,0.0702,0.0772,0.0174,0.0364,0.0303,0.0,0.0,0.0303,0.0302,0.0
Greedy Monroe,0.1382,0.0004,0.0063,0.0344,0.0378,0.0011,0.0226,0.0178,0.0,0.0,0.0178,0.0,0.0
Minimax Approval Voting (MAV),0.3148,0.0008,0.0217,0.0703,0.0773,0.0174,0.0365,0.0303,0.0,0.0,0.0303,0.0302,0.0
