,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0017461818181818182,0.0,0.0,0.0,5.6e-05,0.0,0.006394,0.006364,0.0,0.0,0.006364,2.4e-05
Random Choice,0.01483109090909091,0.000186,0.008304,0.035128,0.039974,0.007176,0.018574,0.018022,0.0,0.0,0.018022,0.017756
Borda ranking,0.0021583636363636366,0.0,0.000818,0.006742,0.008038,0.0,0.00272,0.002708,0.0,0.0,0.002708,8e-06
Plurality ranking,0.007329090909090909,0.0,0.00649,0.02721,0.031026,0.001868,0.00022,0.0,0.0,0.0,0.0,0.013806
Approval Voting (AV),0.004645818181818182,6e-06,0.0,0.008522,0.010174,3.6e-05,0.010918,0.010724,0.0,0.0,0.010724,0.0
Proportional Approval Voting (PAV),0.004645818181818182,6e-06,0.0,0.008522,0.010174,3.6e-05,0.010918,0.010724,0.0,0.0,0.010724,0.0
Approval Chamberlin-Courant (CC),0.014915818181818181,0.000194,0.00841,0.035178,0.040138,0.0076,0.018558,0.017928,0.0,0.0,0.017928,0.01814
Lexicographic Chamberlin-Courant (lex-CC),0.004645818181818182,6e-06,0.0,0.008522,0.010174,3.6e-05,0.010918,0.010724,0.0,0.0,0.010724,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.014618363636363636,0.000204,0.008362,0.034958,0.039774,0.00669,0.018462,0.017938,0.0,0.0,0.017938,0.016476
Monroe's Approval Rule (Monroe),0.014908363636363636,0.000192,0.008396,0.035164,0.040124,0.007596,0.018548,0.017918,0.0,0.0,0.017918,0.018136
Greedy Monroe,0.006932545454545455,2e-05,0.00199,0.017154,0.019344,0.000212,0.01267,0.012434,0.0,0.0,0.012434,0.0
Minimax Approval Voting (MAV),0.014915818181818181,0.000194,0.00841,0.035178,0.040138,0.0076,0.018558,0.017928,0.0,0.0,0.017928,0.01814
