,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.033090909090909094,0.022,0.028,0.068,0.074,0.0,0.046,0.04,0.0,0.002,0.048,0.036
Random Choice,0.03654545454545455,0.024,0.024,0.072,0.078,0.006,0.052,0.042,0.0,0.002,0.05,0.052
Borda ranking,0.002727272727272727,0.0,0.0,0.01,0.014,0.0,0.002,0.0,0.0,0.0,0.0,0.004
Plurality ranking,0.019818181818181818,0.0,0.026,0.068,0.074,0.0,0.012,0.0,0.0,0.002,0.0,0.036
Approval Voting (AV),0.006363636363636363,0.0,0.0,0.014,0.018,0.0,0.014,0.01,0.0,0.0,0.014,0.0
Proportional Approval Voting (PAV),0.00709090909090909,0.0,0.0,0.018,0.022,0.0,0.014,0.012,0.0,0.0,0.012,0.0
Approval Chamberlin-Courant (CC),0.033090909090909094,0.022,0.026,0.068,0.074,0.0,0.046,0.04,0.0,0.002,0.046,0.04
Lexicographic Chamberlin-Courant (lex-CC),0.019454545454545454,0.004,0.018,0.056,0.06,0.0,0.03,0.022,0.0,0.0,0.024,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.03127272727272727,0.02,0.018,0.074,0.08,0.0,0.04,0.036,0.0,0.002,0.042,0.032
Monroe's Approval Rule (Monroe),0.01890909090909091,0.01,0.008,0.04,0.046,0.0,0.03,0.028,0.0,0.0,0.03,0.016
Greedy Monroe,0.014545454545454545,0.004,0.008,0.042,0.046,0.0,0.022,0.018,0.0,0.0,0.02,0.0
Minimax Approval Voting (MAV),0.029272727272727273,0.014,0.02,0.066,0.072,0.0,0.042,0.036,0.0,0.0,0.04,0.032
