,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.1788,0.0048,0.0054,0.0723,0.0777,0.017,0.0,0.0,0.0,0.0,0.0004,0.0012,0.0
Borda ranking,0.0243,0.0013,0.0,0.011,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.0826,0.0,0.0011,0.0382,0.0406,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0823,0.0,0.001,0.0381,0.0406,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0823,0.0,0.001,0.0381,0.0406,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.0823,0.0,0.001,0.0381,0.0406,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0823,0.0,0.001,0.0381,0.0406,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0826,0.0,0.0011,0.0382,0.0406,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.0823,0.0,0.001,0.0381,0.0406,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0826,0.0,0.0011,0.0382,0.0406,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.1765,0.0057,0.006,0.0704,0.0763,0.0169,0.0,0.0,0.0,0.0,0.0002,0.001,0.0
