,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.009061272727272729,0.000154,0.007356,0.03719,0.04079,0.007356,0.0,0.0,0.0,0.0,0.003412,0.003416
Borda ranking,0.0007261818181818181,0.0,0.0,0.003994,0.003994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.001550909090909091,0.0,0.0,0.008502,0.008558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0015452727272727272,0.0,0.0,0.008468,0.00853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0015452727272727272,0.0,0.0,0.008468,0.00853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.0015452727272727272,0.0,0.0,0.008468,0.00853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0015452727272727272,0.0,0.0,0.008468,0.00853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.001550909090909091,0.0,0.0,0.008502,0.008558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.0015452727272727272,0.0,0.0,0.008468,0.00853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.001550909090909091,0.0,0.0,0.008502,0.008558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.00905709090909091,0.000162,0.007314,0.037278,0.040886,0.007314,0.0,0.0,0.0,0.0,0.003336,0.003338
