,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.00048472727272727274,0.0,0.0,1.2e-05,0.000698,0.0,0.000294,0.000128,0.0,0.0,0.004198,0.0
Random Choice,0.005158545454545455,0.0,0.0,0.011918,0.029464,0.000648,0.001086,0.00043,0.0,0.0,0.013198,0.0
Borda ranking,0.000654,0.0,0.0,0.001142,0.005788,0.0,6e-06,0.0,0.0,0.0,0.000258,0.0
Plurality ranking,0.0026987272727272723,0.0,0.0,0.0082,0.02141,6e-06,0.0,0.0,0.0,0.0,7e-05,0.0
Approval Voting (AV),0.0017723636363636362,0.0,0.0,0.004342,0.013508,0.0,0.000152,3.4e-05,0.0,0.0,0.00146,0.0
Proportional Approval Voting (PAV),0.0020087272727272727,0.0,0.0,0.00522,0.015566,2e-06,0.000164,4.4e-05,0.0,0.0,0.0011,0.0
Approval Chamberlin-Courant (CC),0.0038534545454545453,0.0,0.0,0.010718,0.026756,3.6e-05,0.000604,0.000224,0.0,0.0,0.00405,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0031932727272727273,0.0,0.0,0.00905,0.023224,1.6e-05,0.000362,0.000138,0.0,0.0,0.002336,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0034527272727272727,0.0,0.0,0.009986,0.024988,6e-06,0.00034,0.00011,0.0,0.0,0.00255,0.0
Monroe's Approval Rule (Monroe),0.003847090909090909,0.0,0.0,0.010698,0.026724,3.6e-05,0.000604,0.000224,0.0,0.0,0.004032,0.0
Greedy Monroe,0.0030303636363636366,0.0,0.0,0.008516,0.022092,4e-06,0.000248,6.2e-05,0.0,0.0,0.002412,0.0
Minimax Approval Voting (MAV),0.0039492727272727275,0.0,0.0,0.010764,0.026888,8.4e-05,0.000636,0.000244,0.0,0.0,0.004826,0.0
