,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,121,0,0,31,42,0,0,0,0,0,20,27,0
Random Choice,338,1,0,72,96,2,3,3,0,0,71,90,0
Borda ranking,17,0,0,6,11,0,0,0,0,0,0,0,0
Plurality ranking,40,0,0,17,23,0,0,0,0,0,0,0,0
Approval Voting (AV),36,0,0,14,22,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),36,0,0,14,22,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),114,0,0,51,63,0,0,0,0,0,0,0,0
Lexicographic Chamberlin-Courant (lex-CC),36,0,0,14,22,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),63,0,0,30,33,0,0,0,0,0,0,0,0
Monroe's Approval Rule (Monroe),112,0,0,50,62,0,0,0,0,0,0,0,0
Greedy Monroe,56,0,0,25,31,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),114,0,0,51,63,0,0,0,0,0,0,0,0
