,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,weak_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,169,0,0,37,46,1,1,1,0,0,35,45,0
Random Choice,327,1,0,74,92,3,3,3,0,0,67,84,0
Borda ranking,3,0,0,1,2,0,0,0,0,0,0,0,0
Plurality ranking,40,0,0,19,21,0,0,0,0,0,0,0,0
Approval Voting (AV),24,0,0,10,14,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),24,0,0,10,14,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),114,0,0,49,59,0,2,2,0,0,2,0,0
Lexicographic Chamberlin-Courant (lex-CC),24,0,0,10,14,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),85,0,0,40,45,0,0,0,0,0,0,0,0
Monroe's Approval Rule (Monroe),114,0,0,49,59,0,2,2,0,0,2,0,0
Greedy Monroe,51,0,0,24,27,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),114,0,0,49,59,0,2,2,0,0,2,0,0
