,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency,count_viols
Neural Network,256,0,0,34,44,0,46,42,0,0,42,46,0
Random Choice,503,1,0,68,88,6,89,81,0,0,81,89,0
Borda ranking,27,0,0,11,16,0,0,0,0,0,0,0,0
Plurality ranking,112,0,0,49,63,0,0,0,0,0,0,0,0
Approval Voting (AV),51,0,0,22,29,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),51,0,0,22,29,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),488,0,0,69,89,4,84,79,0,0,79,84,0
Lexicographic Chamberlin-Courant (lex-CC),51,0,0,22,29,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),509,0,0,68,88,0,91,85,0,0,86,91,0
Monroe's Approval Rule (Monroe),377,0,0,59,76,0,63,58,0,0,58,63,0
Greedy Monroe,99,0,0,45,54,0,0,0,0,0,0,0,0
Minimax Approval Voting (MAV),127,0,0,56,71,0,0,0,0,0,0,0,0
