,majority,majority_loser,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,count_viols
Neural Network,0,0,40,0,0,0,0,0,0
Random Choice,0,0,3229,1578,0,0,0,0,0
Borda ranking,0,0,179,0,0,0,0,0,0
Plurality ranking,0,0,2149,19,0,0,0,0,0
Approval Voting (AV),0,0,194,36,0,0,0,0,0
Proportional Approval Voting (PAV),0,0,194,36,0,0,0,0,0
Approval Chamberlin-Courant (CC),0,0,3219,1577,0,0,0,0,0
Lexicographic Chamberlin-Courant (lex-CC),0,0,194,36,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),0,0,2662,1165,0,0,0,0,0
Monroe's Approval Rule (Monroe),0,0,496,221,0,0,0,0,0
Greedy Monroe,0,0,383,84,0,0,0,0,0
Minimax Approval Voting (MAV),0,0,1934,940,0,0,0,0,0
