Axiom,1,2,3,4,5
mean_violations,4.7704323486858525e-05,0.0009026339968289,0.001105540232923,0.0007027816984686,0.0003149256241723
majority,0.0,0.0006370525880961,0.0004455064533763,5.2763623833091687e-05,7.031358332498778e-05
majority_loser,6.180614856144976e-05,0.0004185450991231,0.0005160581362598,0.0005943601601722,0.0
fixed_majority,1.2e-05,0.0002371160053644,0.000326042941957,0.0004695700160785,0.0
condorcet_winner,0.0003961009972216,0.0027129460001997,0.0029224777159116,0.0019848385324756,0.000511699130349
condorcet_loser,0.0001607980099379,0.0003415903979915,0.0,5.1341990611973745e-05,0.0002509103425528
dummetts_condition,0.0,0.0008337169783565,0.0023601999915261,0.0017426542973292,0.0011186760031394
solid_coalitions,0.0,0.0008337169783565,0.0021649166265701,0.0014694910683634,0.0010455448340458
consensus_committee,0.0,3.919183588453083e-05,8.717797887081346e-06,0.0,0.0
strong_unanimity,0.0,0.0,0.0,0.0,0.0
local_stability,6.102458520956942e-05,0.0033837086162966,0.0032660949159508,0.001607328217882,0.0010455448340458
strong_pareto_efficiency,0.0001417039166713,0.001258316335426,0.001260430085328,0.0010349956521647,0.0005053948951067
