Profile,Winner,Num_Violations,candidate_pairs,candidate_pairs-normalized,candidate_pairs-no_diagonal,candidate_pairs-normalized-no_diagonal,candidate_pairs-normalized-upper_half,binary_pairs,binary_pairs-no_diagonal,binary_pairs-upper_half,rank_matrix,rank_matrix-normalized,Borda ranking Winner,Plurality ranking Winner,Approval Voting (AV) Winner,Proportional Approval Voting (PAV) Winner,Approval Chamberlin-Courant (CC) Winner,Lexicographic Chamberlin-Courant (lex-CC) Winner,Sequential Approval Chamberlin-Courant (seq-CC) Winner,Monroe's Approval Rule (Monroe) Winner,Greedy Monroe Winner,Minimax Approval Voting (MAV) Winner
"[(0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2)]","(1, 1, 0)",0,"[0, 20, 20, 0, 0, 12, 0, 8, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.2, 0.0, 0.13333, 0.0]","[20, 20, 0, 12, 0, 8]","[0.33333, 0.33333, 0.0, 0.2, 0.0, 0.13333]",[0.38462 0.38462 0.23077],"[0, 1, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 1, 0, 0]","[1, 1, 1]","[20, 0, 0, 0, 12, 8, 0, 8, 12]","[0.33333, 0.0, 0.0, 0.0, 0.2, 0.13333, 0.0, 0.13333, 0.2]","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(0, 1, 1)","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(0, 1, 1)"
"[(0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2)]","(1, 0, 1)",0,"[0, 20, 20, 0, 0, 10, 0, 10, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.16667, 0.0, 0.16667, 0.0]","[20, 20, 0, 10, 0, 10]","[0.33333, 0.33333, 0.0, 0.16667, 0.0, 0.16667]",[0.4 0.4 0.2],"[0, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0]","[1, 1, 0]","[20, 0, 0, 0, 10, 10, 0, 10, 10]","[0.33333, 0.0, 0.0, 0.0, 0.16667, 0.16667, 0.0, 0.16667, 0.16667]","(1, 1, 0)","(1, 1, 0)","(1, 0, 1)","(1, 0, 1)","(0, 1, 1)","(1, 0, 1)","(1, 1, 0)","(0, 1, 1)","(1, 0, 1)","(0, 1, 1)"
"[(0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2)]","(1, 1, 0)",0,"[0, 20, 20, 0, 0, 11, 0, 9, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.18333, 0.0, 0.15, 0.0]","[20, 20, 0, 11, 0, 9]","[0.33333, 0.33333, 0.0, 0.18333, 0.0, 0.15]",[0.39216 0.39216 0.21569],"[0, 1, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 1, 0, 0]","[1, 1, 1]","[20, 0, 0, 0, 11, 9, 0, 9, 11]","[0.33333, 0.0, 0.0, 0.0, 0.18333, 0.15, 0.0, 0.15, 0.18333]","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(0, 1, 1)","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(0, 1, 1)"
"[(0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2)]","(1, 1, 0)",0,"[0, 20, 20, 0, 0, 10, 0, 10, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.16667, 0.0, 0.16667, 0.0]","[20, 20, 0, 10, 0, 10]","[0.33333, 0.33333, 0.0, 0.16667, 0.0, 0.16667]",[0.4 0.4 0.2],"[0, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0]","[1, 1, 0]","[20, 0, 0, 0, 10, 10, 0, 10, 10]","[0.33333, 0.0, 0.0, 0.0, 0.16667, 0.16667, 0.0, 0.16667, 0.16667]","(1, 1, 0)","(1, 1, 0)","(1, 0, 1)","(1, 0, 1)","(0, 1, 1)","(1, 0, 1)","(1, 1, 0)","(0, 1, 1)","(1, 1, 0)","(0, 1, 1)"
"[(0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1)]","(1, 0, 1)",0,"[0, 20, 20, 0, 0, 9, 0, 11, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.15, 0.0, 0.18333, 0.0]","[20, 20, 0, 9, 0, 11]","[0.33333, 0.33333, 0.0, 0.15, 0.0, 0.18333]",[0.40816 0.40816 0.18367],"[0, 1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1]","[1, 1, 0]","[20, 0, 0, 0, 9, 11, 0, 11, 9]","[0.33333, 0.0, 0.0, 0.0, 0.15, 0.18333, 0.0, 0.18333, 0.15]","(1, 0, 1)","(1, 1, 0)","(1, 0, 1)","(1, 0, 1)","(0, 1, 1)","(1, 0, 1)","(1, 1, 0)","(1, 0, 1)","(1, 0, 1)","(0, 1, 1)"
"[(0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2)]","(1, 0, 1)",0,"[0, 20, 20, 0, 0, 9, 0, 11, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.15, 0.0, 0.18333, 0.0]","[20, 20, 0, 9, 0, 11]","[0.33333, 0.33333, 0.0, 0.15, 0.0, 0.18333]",[0.40816 0.40816 0.18367],"[0, 1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1]","[1, 1, 0]","[20, 0, 0, 0, 9, 11, 0, 11, 9]","[0.33333, 0.0, 0.0, 0.0, 0.15, 0.18333, 0.0, 0.18333, 0.15]","(1, 0, 1)","(1, 1, 0)","(1, 0, 1)","(1, 0, 1)","(0, 1, 1)","(1, 0, 1)","(1, 1, 0)","(1, 0, 1)","(1, 1, 0)","(0, 1, 1)"
"[(0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2)]","(1, 1, 0)",0,"[0, 20, 20, 0, 0, 11, 0, 9, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.18333, 0.0, 0.15, 0.0]","[20, 20, 0, 11, 0, 9]","[0.33333, 0.33333, 0.0, 0.18333, 0.0, 0.15]",[0.39216 0.39216 0.21569],"[0, 1, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 1, 0, 0]","[1, 1, 1]","[20, 0, 0, 0, 11, 9, 0, 9, 11]","[0.33333, 0.0, 0.0, 0.0, 0.18333, 0.15, 0.0, 0.15, 0.18333]","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(0, 1, 1)","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(0, 1, 1)"
"[(0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2)]","(1, 1, 0)",0,"[0, 20, 20, 0, 0, 10, 0, 10, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.16667, 0.0, 0.16667, 0.0]","[20, 20, 0, 10, 0, 10]","[0.33333, 0.33333, 0.0, 0.16667, 0.0, 0.16667]",[0.4 0.4 0.2],"[0, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0]","[1, 1, 0]","[20, 0, 0, 0, 10, 10, 0, 10, 10]","[0.33333, 0.0, 0.0, 0.0, 0.16667, 0.16667, 0.0, 0.16667, 0.16667]","(1, 1, 0)","(1, 1, 0)","(1, 0, 1)","(1, 0, 1)","(0, 1, 1)","(1, 0, 1)","(1, 1, 0)","(0, 1, 1)","(1, 1, 0)","(0, 1, 1)"
"[(0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2)]","(1, 0, 1)",0,"[0, 20, 20, 0, 0, 9, 0, 11, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.15, 0.0, 0.18333, 0.0]","[20, 20, 0, 9, 0, 11]","[0.33333, 0.33333, 0.0, 0.15, 0.0, 0.18333]",[0.40816 0.40816 0.18367],"[0, 1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1]","[1, 1, 0]","[20, 0, 0, 0, 9, 11, 0, 11, 9]","[0.33333, 0.0, 0.0, 0.0, 0.15, 0.18333, 0.0, 0.18333, 0.15]","(1, 0, 1)","(1, 1, 0)","(1, 0, 1)","(1, 0, 1)","(0, 1, 1)","(1, 0, 1)","(1, 1, 0)","(1, 0, 1)","(1, 0, 1)","(0, 1, 1)"
"[(0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2)]","(1, 0, 1)",0,"[0, 20, 20, 0, 0, 8, 0, 12, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.13333, 0.0, 0.2, 0.0]","[20, 20, 0, 8, 0, 12]","[0.33333, 0.33333, 0.0, 0.13333, 0.0, 0.2]",[0.41667 0.41667 0.16667],"[0, 1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1]","[1, 1, 0]","[20, 0, 0, 0, 8, 12, 0, 12, 8]","[0.33333, 0.0, 0.0, 0.0, 0.13333, 0.2, 0.0, 0.2, 0.13333]","(1, 0, 1)","(1, 1, 0)","(1, 0, 1)","(1, 0, 1)","(0, 1, 1)","(1, 0, 1)","(1, 1, 0)","(1, 0, 1)","(1, 1, 0)","(0, 1, 1)"
"[(0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2)]","(1, 0, 1)",0,"[0, 20, 20, 0, 0, 7, 0, 13, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.11667, 0.0, 0.21667, 0.0]","[20, 20, 0, 7, 0, 13]","[0.33333, 0.33333, 0.0, 0.11667, 0.0, 0.21667]",[0.42553 0.42553 0.14894],"[0, 1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1]","[1, 1, 0]","[20, 0, 0, 0, 7, 13, 0, 13, 7]","[0.33333, 0.0, 0.0, 0.0, 0.11667, 0.21667, 0.0, 0.21667, 0.11667]","(1, 0, 1)","(1, 1, 0)","(1, 0, 1)","(1, 0, 1)","(0, 1, 1)","(1, 0, 1)","(1, 1, 0)","(1, 0, 1)","(1, 1, 0)","(0, 1, 1)"
"[(0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2)]","(1, 1, 0)",0,"[0, 20, 20, 0, 0, 12, 0, 8, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.2, 0.0, 0.13333, 0.0]","[20, 20, 0, 12, 0, 8]","[0.33333, 0.33333, 0.0, 0.2, 0.0, 0.13333]",[0.38462 0.38462 0.23077],"[0, 1, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 1, 0, 0]","[1, 1, 1]","[20, 0, 0, 0, 12, 8, 0, 8, 12]","[0.33333, 0.0, 0.0, 0.0, 0.2, 0.13333, 0.0, 0.13333, 0.2]","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(0, 1, 1)","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(0, 1, 1)"
"[(0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 1, 2), (0, 2, 1), (0, 2, 1), (0, 1, 2)]","(1, 1, 0)",0,"[0, 20, 20, 0, 0, 14, 0, 6, 0]","[0.0, 0.33333, 0.33333, 0.0, 0.0, 0.23333, 0.0, 0.1, 0.0]","[20, 20, 0, 14, 0, 6]","[0.33333, 0.33333, 0.0, 0.23333, 0.0, 0.1]",[0.37037 0.37037 0.25926],"[0, 1, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 1, 0, 0]","[1, 1, 1]","[20, 0, 0, 0, 14, 6, 0, 6, 14]","[0.33333, 0.0, 0.0, 0.0, 0.23333, 0.1, 0.0, 0.1, 0.23333]","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(0, 1, 1)","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(1, 1, 0)","(0, 1, 1)"
